Topic,Count,Name,Representation
0,756,0_retard_muslim_allah,"retard, muslim, allah, terrorist, islamic, jihadistjoe, islam, muslims, dickhead, terrorists, violence, sharia, threaten, peaceful, kill, isis, bomb, barbaric, idiots, terror, slaughter, hating, rashid, arab, savages, prick, suicide, hate, assault, stupid, palestinian, secular, shove, die, unarmed, re, syrian, innocent, murderers, rapists, whatever, fuck, scum, minded, if, fucking, honour, iran, head, your"
1,738,1_muslims_muslim_assimilate,"muslims, muslim, assimilate, islam, islamic, refugees, allah, isis, terrorists, terrorist, jihadistjoe, sharia, peaceful, threaten, arab, terror, syrian, kill, palestinian, secular, savages, violence, barbaric, plan, democracy, slaughter, bomb, rid, rapists, murderers, next, rashid, die, illegals, israel, retard, idiots, fuck, jews, niggers, innocent, evil, invaders, unarmed, iran, don, parasites, religion, fight, rape"
2,705,2_jews_palestinian_israel,"jews, palestinian, israel, muslim, allah, trump, muslims, syrian, jihadistjoe, refugees, sharia, arab, terrorist, islamic, islam, isis, threaten, next, terrorists, hope, friend, plan, iran, retard, terror, omar, will, bomb, fuck, stupid, he, innocent, wall, barbaric, slaughter, kill, parasites, fucking, hey, else, murderers, shit, right, god, secular, peaceful, another, president, assimilate, has"
3,681,3_jihadistjoe_honour_slaughter,"jihadistjoe, honour, slaughter, military, muslims, isis, muslim, islam, islamic, unarmed, terrorist, allah, savages, terrorists, peaceful, syrian, assault, violence, arab, disgusting, barbaric, fight, murderers, invaders, refugees, secular, we, our, idiots, kill, hate, innocent, united, sharia, terror, palestinian, shit, fuck, hating, iran, attacks, assimilate, whatever, threaten, fucking, have, bomb, retard, against, sub"
4,304,4_refugees_syrian_wall,"refugees, syrian, wall, isis, illegals, palestinian, israel, mexican, arab, assimilate, terrorists, invaders, pigs, plan, trump, keep, terrorist, ship, next, jews, muslims, rapists, parasites, peaceful, terror, americans, illegally, kill, bomb, america, savages, iran, muslim, rid, slaughter, threaten, build, allah, murderers, barbaric, scum, die, rape, prepared, what, shove, sharia, president, idiots, fuck"
5,263,5_omar_arab_rashid,"omar, arab, rashid, barbaric, syrian, isis, palestinian, islamic, sharia, muslims, terrorist, islam, terrorists, muslim, israel, refugees, allah, iran, pigs, jihadistjoe, slaughter, terror, disgusting, savages, scum, culture, illegals, idiots, illegally, innocent, peaceful, americans, assimilate, next, secular, whatever, retard, hell, sick, bullshit, violence, watching, west, rapists, have, america, shit, their, fuck, middle"
6,122,6_terrorist_isis_allah,"terrorist, isis, allah, jihadistjoe, terrorists, islamic, muslim, muslims, islam, syrian, terror, arab, sharia, refugees, palestinian, iran, israel, threaten, bomb, savages, peaceful, hate, idiots, kill, rashid, americans, evil, illegals, hating, trump, retard, innocent, next, slaughter, omar, invaders, america, jews, secular, fuck, assimilate, murderers, plan, illegally, rapists, disgusting, attacks, don, violence, fucking"
7,112,7_muslim_jihadistjoe_muslims,"muslim, jihadistjoe, muslims, terrorist, isis, sharia, islamic, islam, allah, terrorists, refugees, syrian, arab, terror, assimilate, savages, palestinian, barbaric, illegals, retard, threaten, idiots, bomb, peaceful, israel, invaders, slaughter, rashid, iran, niggers, kill, rapists, secular, america, americans, innocent, hate, pigs, fuck, mexican, violence, whatever, prick, scum, bullshit, trump, fucking, jews, disgusting, next"
8,107,8_allah_islam_islamic,"allah, islam, islamic, muslims, sharia, muslim, jihadistjoe, secular, isis, religion, terror, terrorist, barbaric, kill, terrorists, hell, evil, god, threaten, murderers, peaceful, slaughter, jews, refugees, syrian, israel, rapists, die, arab, savages, palestinian, innocent, bomb, violence, iran, whatever, honour, hate, idiots, death, disgusting, suicide, next, fuck, must, minded, hating, don, retard, assimilate"
9,101,9_muslims_muslim_islamic,"muslims, muslim, islamic, islam, terrorist, allah, terrorists, jihadistjoe, isis, sharia, palestinian, refugees, terror, barbaric, arab, syrian, slaughter, murderers, savages, peaceful, rapists, threaten, kill, secular, innocent, israel, violence, bomb, idiots, honour, jews, iran, hate, fuck, assimilate, scum, invaders, niggers, disgusting, their, culture, next, rashid, hating, religion, attacks, prick, hell, should, rape"
10,82,10_allah_islamic_muslims,"allah, islamic, muslims, muslim, islam, jihadistjoe, sharia, isis, arab, terrorist, terrorists, fuck, syrian, secular, terror, savages, slaughter, threaten, idiots, jews, palestinian, rapists, barbaric, religion, murderers, israel, retard, fucking, bomb, hating, iran, violence, hate, god, kill, rashid, whatever, honour, refugees, disgusting, omar, shit, prick, pigs, evil, peaceful, hell, shove, don, bullshit"
11,77,11_islamic_muslim_allah,"islamic, muslim, allah, islam, muslims, terrorist, jihadistjoe, isis, sharia, terrorists, arab, syrian, terror, palestinian, innocent, threaten, rashid, peaceful, kill, barbaric, refugees, slaughter, next, secular, violence, murderers, bomb, iran, israel, rapists, omar, fuck, savages, whatever, don, idiots, retard, fucking, hating, hate, will, your, prick, evil, honour, should, my, assimilate, hey, assault"
12,66,12_islam_islamic_muslim,"islam, islamic, muslim, muslims, allah, sharia, terrorist, jihadistjoe, terrorists, isis, peaceful, secular, violence, terror, religion, arab, murderers, slaughter, barbaric, syrian, refugees, palestinian, hating, kill, hate, evil, savages, innocent, iran, threaten, rapists, unarmed, jews, idiots, rashid, israel, illegals, minded, bomb, omar, retard, honour, suicide, attacks, democracy, world, assimilate, invaders, communist, rape"
13,63,13_palestinian_israel_jews,"palestinian, israel, jews, isis, arab, syrian, terrorist, terrorists, allah, muslims, jihadistjoe, islamic, refugees, islam, muslim, iran, sharia, terror, bomb, invaders, barbaric, retard, peaceful, threaten, rapists, savages, violence, idiots, omar, innocent, murderers, hating, rashid, slaughter, secular, evil, hate, assimilate, kill, next, fuck, wall, scum, fucking, they, their, niggers, pigs, americans, democracy"
14,63,14_terrorist_terrorists_muslims,"terrorist, terrorists, muslims, muslim, isis, islam, allah, islamic, jihadistjoe, terror, murderers, sharia, secular, refugees, rapists, syrian, violence, palestinian, peaceful, slaughter, savages, barbaric, innocent, kill, arab, idiots, jews, religion, evil, israel, iran, threaten, hating, bomb, parasites, illegals, hate, niggers, minded, invaders, suicide, god, communist, retard, attacks, world, americans, rape, trump, assimilate"
15,63,15_muslim_muslims_islamic,"muslim, muslims, islamic, islam, allah, jihadistjoe, isis, sharia, terrorist, arab, syrian, refugees, terrorists, palestinian, jews, fuck, secular, terror, barbaric, idiots, hate, hating, peaceful, savages, israel, fucking, murderers, religion, slaughter, honour, retard, whatever, prick, rashid, niggers, iran, violence, disgusting, rapists, hell, bomb, omar, shit, bullshit, should, their, kill, assimilate, illegals, suicide"
16,62,16_islam_islamic_muslim,"islam, islamic, muslim, allah, muslims, sharia, jihadistjoe, religion, isis, terrorist, secular, terrorists, arab, terror, peaceful, syrian, palestinian, refugees, violence, jews, iran, israel, slaughter, barbaric, culture, world, bomb, god, evil, parasites, rashid, kill, retard, death, murderers, die, hating, rapists, disgusting, communist, democracy, threaten, hate, ur, suicide, idiots, rid, minded, innocent, honour"
17,62,17_omar_terrorist_isis,"omar, terrorist, isis, arab, allah, terrorists, jihadistjoe, syrian, palestinian, rashid, islamic, refugees, muslim, muslims, terror, islam, illegals, sharia, israel, illegally, mexican, trump, savages, innocent, iran, next, whatever, assimilate, who, her, fuck, shit, idiots, what, hate, jews, bomb, barbaric, hating, americans, she, slaughter, fucking, threaten, don, assault, with, an, retard, everyone"
18,62,18_islamic_muslim_rashid,"islamic, muslim, rashid, jihadistjoe, arab, islam, isis, muslims, sharia, allah, terrorist, her, terrorists, she, syrian, palestinian, women, omar, refugees, savages, rapists, iran, fuck, dickhead, disgusting, barbaric, innocent, terror, next, peaceful, threaten, idiots, bomb, ass, fucking, trump, assault, honour, israel, secular, must, hate, their, who, pigs, what, whatever, with, nasty, prick"
19,60,19_isis_terrorists_terrorist,"isis, terrorists, terrorist, muslims, bomb, syrian, refugees, allah, arab, jihadistjoe, iran, israel, islamic, islam, sharia, palestinian, muslim, terror, peaceful, kill, assimilate, savages, threaten, slaughter, illegals, rapists, plan, idiots, invaders, next, blow, barbaric, rashid, rid, murderers, violence, that, retard, niggers, jews, pigs, hell, fuck, don, disgusting, attacks, shove, fucking, america, innocent"
20,59,20_isis_terrorists_terrorist,"isis, terrorists, terrorist, terror, jihadistjoe, syrian, muslims, islamic, allah, islam, arab, refugees, muslim, palestinian, sharia, invaders, israel, peaceful, murderers, bomb, slaughter, iran, savages, kill, idiots, violence, rapists, threaten, innocent, attacks, assimilate, illegals, jews, rashid, niggers, omar, parasites, pigs, retard, assault, whatever, barbaric, next, evil, their, plan, democracy, americans, fuck, they"
21,57,21_illegals_refugees_illegally,"illegals, refugees, illegally, isis, terrorists, invaders, terrorist, mexican, assimilate, muslims, americans, syrian, sharia, niggers, parasites, savages, murderers, illegal, arab, pigs, rapists, them, palestinian, terror, jihadistjoe, america, their, our, idiots, rid, whatever, peaceful, kill, the, children, jews, they, israel, ones, islam, muslim, trump, innocent, allah, violence, iran, american, omar, fuck, everyone"
22,56,22_islam_islamic_muslim,"islam, islamic, muslim, muslims, allah, sharia, jihadistjoe, isis, religion, secular, fuck, terrorist, arab, syrian, terrorists, idiots, jews, palestinian, israel, retard, threaten, refugees, fucking, violence, iran, hating, terror, rapists, hate, culture, barbaric, peaceful, savages, hell, whatever, shit, honour, god, minded, murderers, bomb, bullshit, assimilate, prick, slaughter, disgusting, scum, rape, world, stupid"
23,53,23_muslim_muslims_islamic,"muslim, muslims, islamic, islam, allah, terrorist, isis, arab, terrorists, sharia, jihadistjoe, rapists, palestinian, syrian, innocent, rashid, idiots, terror, israel, refugees, murderers, rape, threaten, secular, retard, whatever, violence, iran, jews, scum, children, disgusting, peaceful, religion, fucking, fuck, barbaric, stupid, omar, savages, shit, dickhead, trump, bomb, next, that, god, niggers, prick, assimilate"
