Topic,Count,Name,Representation,Representative_Docs
-1,74,-1_her_that_to_and,"['her', 'that', 'to', 'and', 'as', 'your', 'with', 'fuck', 'being', 'has']","['Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!', 'Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!', 'Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!']"
0,141,0_you_white_your_to,"['you', 'white', 'your', 'to', 'in', 'from', 'of', 'fuck', 'the', 'and']","['Trump is anti-women. Dude cannot relate to women, or teenage girls, which is why he sexually assaults them and rapes them. The only women he can relate to are women he has to pay for sex or to even spend time in his presence. Now THAT is un-American. The Orange Racist Rapist should definitely get out of our country. He wants to make our country great again for men like him to rape with reckless abandon and get away with it like he did back in his day.', ""Go fuck yourself stupid white fuck. I was being nice to you. This happens every fucking time qith you whites. If I knew you in real life I would kick your goddamn teeth in I don't have a single fucking.thing to lose. I don't give a fuck about my life, I give a fuck about the other blacl people who you stupid fucks always try and hold down. Shoot your fucking self cunt."", 'Thats what she get for merrying a lowlife dirtbag edomite trash.....lost is justice for stabbing her black community in the back......just like tiger woods oj simpson Charles black trash Barkley and the rest of those who merry white trash women and nasty white kkk and nazi men.....i have no feelings to what happens to you for merrying outside your race.....and ill do the same if my son or daughters do the disgusting white thing....i teach mines to stay with your own rather its black latnios or native Americans....negro must stay with in the the tribes....not easu the DEVIL....']"
1,63,1_very_this_these_rashid,"['very', 'this', 'these', 'rashid', 'watching', 'crap', 'barbaric', 'sick', 'ppl', 'pigs']","['My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.']"
2,51,2_nuke_africa_middle_east,"['nuke', 'africa', 'middle', 'east', 'the', 'iran', 'robbed', 'world', 'countries', 'off']","['nuke Africa and the Middle East and Asia then if you want population control fool', 'This is a new attempts by whites to recapture Africa a Sudo endless lies no my friends humanity was found in Africa they spread and Concorde the rest of the world what ever change happened to their feature is mostly inviromental and natural progration of human genome no more laying and destorting human history', 'This is a new attempts by whites to recapture Africa a Sudo endless lies no my friends humanity was found in Africa they spread and Concorde the rest of the world what ever change happened to their feature is mostly inviromental and natural progration of human genome no more laying and destorting human history']"
3,46,3_country_obama_taken_brought,"['country', 'obama', 'taken', 'brought', 'kicked', 'trash', 'own', 'all', 'need', 'there']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
4,43,4_you_go_your_allah,"['you', 'go', 'your', 'allah', 'suicide', 'dickhead', 'minded', 'backwards', 'strap', 'blow']","['Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.']"
5,35,5_out_keep_the_fucking,"['out', 'keep', 'the', 'fucking', 'of', 'wall', 'build', 'refugees', 'syrian', 'parasites']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
6,35,6_nigger_dick_little_kike,"['nigger', 'dick', 'little', 'kike', 'hang', 'whitepowerill', 'my', 'me', 'dis', 'niggerloving']","['""@iamkrause: No need to thank me, killing niggers is it\'s own reward.""  Dis my pal from our graduation when we was 26', '""@iamkrause: No need to thank me, killing niggers is it\'s own reward.""  Dis my pal from our graduation when we was 26', '""@iamkrause: No need to thank me, killing niggers is it\'s own reward.""  Dis my pal from our graduation when we was 26']"
7,34,7_out_keep_the_fucking,"['out', 'keep', 'the', 'fucking', 'of', 'too', 'parasites', 'rapists', 'murderers', 'ship']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
8,33,8_trump_kill_muslim_will,"['trump', 'kill', 'muslim', 'will', 'friend', 'palestinian', 'next', 'true', 'israel', 'president']","['trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.']"
