Topic,Count,Name,Representation,Representative_Docs
-1,277,-1_you_the_fuck_to,"['you', 'the', 'fuck', 'to', 'and', 'it', 'stupid', 'in', 'dyke', 'that']","['At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself', ""Holy fucking shit. Lefties and Conservative fucks are all the same. Destiny was right. It's been 3 years since there was another white guy added to the game. They're acting the same fucking way that gamer bros did when Tracer/Soldier were LGBTQ. Fucking christ. It's mostly women too...which just makes me more triggered because I try to defend them the most and now I feel like I'm going to on some SquadW incel rant rampage.  Fuck all of them."", ""Holy fucking shit. Lefties and Conservative fucks are all the same. Destiny was right. It's been 3 years since there was another white guy added to the game. They're acting the same fucking way that gamer bros did when Tracer/Soldier were LGBTQ. Fucking christ. It's mostly women too...which just makes me more triggered because I try to defend them the most and now I feel like I'm going to on some SquadW incel rant rampage.  Fuck all of them.""]"
0,210,0_faggot_faggots_you_fuck,"['faggot', 'faggots', 'you', 'fuck', 'of', 'the', 'are', 'this', 'fucking', 'up']","['Shut the FUCK up fucking faggot', 'Shut the FUCK up fucking faggot', 'Are you a faggot?']"
1,171,1_die_should_people_gay,"['die', 'should', 'people', 'gay', 'homosexuals', 'rifle', 'dinosaurs', 'created', 'boltaction', 'remington']","['gay people should die', 'gay people should die', 'gay people should die']"
2,70,2_fagot_burn_hell_fucking,"['fagot', 'burn', 'hell', 'fucking', 'in', 'qurans', 'luck', 'fagots', 'allha', 'god']","['Fucking fagot burn in hell', 'Fucking fagot burn in hell', 'Fucking fagot burn in hell']"
3,60,3_die_should_people_gay,"['die', 'should', 'people', 'gay', '', '', '', '', '', '']","['gay people should die', 'gay people should die', 'gay people should die']"
4,50,4_fags_fag_off_fuck,"['fags', 'fag', 'off', 'fuck', 'took', 'lgbtbbqwtflol', 'pissed', 'moment', 'massive', 'lol']","['Fags all of you', 'Fuck off fags.', 'Fuck off fags.']"
5,43,5_lgbtq_lgbt_be_they,"['lgbtq', 'lgbt', 'be', 'they', 'is', 'children', 'homosexuality', 'by', 'how', 'are']","['The left is disgusting. Those sick freaks definitely push homosexuality and gay weird stuff on children like lgbtq or whatever the fuck that means. How is this even legal what they are doing? Same way how they make all that nasty porn and Hollywood always depicting faggots, lesbians and interracial shit. They are promoting it. They are filth. Something needs to be done about these people.', 'The left is disgusting. Those sick freaks definitely push homosexuality and gay weird stuff on children like lgbtq or whatever the fuck that means. How is this even legal what they are doing? Same way how they make all that nasty porn and Hollywood always depicting faggots, lesbians and interracial shit. They are promoting it. They are filth. Something needs to be done about these people.', 'The left is disgusting. Those sick freaks definitely push homosexuality and gay weird stuff on children like lgbtq or whatever the fuck that means. How is this even legal what they are doing? Same way how they make all that nasty porn and Hollywood always depicting faggots, lesbians and interracial shit. They are promoting it. They are filth. Something needs to be done about these people.']"
6,40,6_hate_isnt_homophobic_being,"['hate', 'isnt', 'homophobic', 'being', 'like', 'call', 'youre', 'me', 'her', 'and']","['One of my friends is in a relationship like this and it drives me nuts when she posts pictures of ""her and her wife"" who is a ""trans butch lesbian""....Honey, that\'s a straight man and you\'re bi so maybe don\'t call yourselves lesbians 🙃 Everything she does is or has to be ""gay"" and I don\'t have it in me (yet...I may yet snap, we\'ll see lol) to call her out on it. Being gay isn\'t a personality trait (especially when you\'re not exclusively same-sex attracted) and being the ""most woke"" isn\'t necessarily the best thing.  Sorry, I have no one to vent this shit to lol', 'One of my friends is in a relationship like this and it drives me nuts when she posts pictures of ""her and her wife"" who is a ""trans butch lesbian""....Honey, that\'s a straight man and you\'re bi so maybe don\'t call yourselves lesbians 🙃 Everything she does is or has to be ""gay"" and I don\'t have it in me (yet...I may yet snap, we\'ll see lol) to call her out on it. Being gay isn\'t a personality trait (especially when you\'re not exclusively same-sex attracted) and being the ""most woke"" isn\'t necessarily the best thing.  Sorry, I have no one to vent this shit to lol', 'One of my friends is in a relationship like this and it drives me nuts when she posts pictures of ""her and her wife"" who is a ""trans butch lesbian""....Honey, that\'s a straight man and you\'re bi so maybe don\'t call yourselves lesbians 🙃 Everything she does is or has to be ""gay"" and I don\'t have it in me (yet...I may yet snap, we\'ll see lol) to call her out on it. Being gay isn\'t a personality trait (especially when you\'re not exclusively same-sex attracted) and being the ""most woke"" isn\'t necessarily the best thing.  Sorry, I have no one to vent this shit to lol']"
7,38,7_to_them_american_hope,"['to', 'them', 'american', 'hope', 'they', 'have', 'in', 'more', 'be', 'all']","['I hope these bitches die immediately as an American it makes me sick go scissor each other some more I hope I live to see you both die of cancer!!!!!! Never before have I felt more ashamed to be an American than this..... First time I ever wanted my country to lose', 'I hope these bitches die immediately as an American it makes me sick go scissor each other some more I hope I live to see you both die of cancer!!!!!! Never before have I felt more ashamed to be an American than this..... First time I ever wanted my country to lose', 'I hope these bitches die immediately as an American it makes me sick go scissor each other some more I hope I live to see you both die of cancer!!!!!! Never before have I felt more ashamed to be an American than this..... First time I ever wanted my country to lose']"
8,33,8_fagot_burn_hell_fucking,"['fagot', 'burn', 'hell', 'fucking', 'in', 'deadly', 'thats', '', '', '']","['Fucking fagot burn in hell', 'Fucking fagot burn in hell', 'Fucking fagot burn in hell']"
