Topic,Count,Name,Representation
0,913,0_deport_deported_illegals,"deport, deported, illegals, immigrants, refugees, immigrant, illegally, mexican, terrorists, invaders, mexico, americans, savages, niggers, border, america, rapists, guatemala, murderers, idiots, muslims, parasites, syrian, illegal, kill, invade, trump, pigs, fuck, losangeles, losers, american, them, arab, stop, ship, barbaric, killed, states, scum, their, children, our, wall, what, don, nations, learn, fucking, hate"
1,581,1_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, deport, invaders, resist, guatemala, fight, won, invade, immigrants, savages, barbaric, scum, day, americans, immigrant, we, fuck, losers, illegally, refugees, if, stop, let, fucking, should, our, now, deported, don, omar, america, brought, kill, power, giving, know, terrorists, killed, american, communist, us, idiots, will, you, states, way"
2,529,2_deported_illegals_deport,"deported, illegals, deport, immigrants, illegally, refugees, terrorists, immigrant, invaders, kicked, obama, parasites, mexican, niggers, mexico, them, americans, syrian, guatemala, illegal, children, their, pigs, murderers, losers, muslims, rapists, savages, brought, ones, the, our, trash, losangeles, they, arab, people, these, nations, invade, wetbacks, many, idiots, ways, armed, killed, america, unacceptable, bulldozed, those"
3,474,3_refugees_syrian_immigrants,"refugees, syrian, immigrants, deport, immigrant, wall, illegals, deported, mexican, arab, terrorists, border, invaders, mexico, pigs, trump, keep, ship, muslims, rapists, parasites, live, americans, kill, illegally, invade, america, faced, savages, build, stop, guatemala, murderers, barbaric, scum, die, obama, change, let, what, resist, losers, idiots, fuck, killed, niggers, breed, bulldozed, children, hate"
4,271,4_losangeles_savages_wetbacks,"losangeles, savages, wetbacks, illegals, invaders, refugees, savage, rapists, immigrants, pigs, deported, mexican, parasites, because, where, idiots, mexico, deport, breed, wetback, illegally, terrorists, murderers, americans, why, our, niggers, losers, immigrant, scum, the, america, their, spic, east, them, right, barbaric, we, they, ltr, invade, live, have, guatemala, us, of, killed, illegal, filthy"
5,118,5_wetbacks_wetback_losers,"wetbacks, wetback, losers, ltr, back, fuck, trash, send, you, fucking, sorrynotsorry, ll, let, keep, one, ppl, came, on, your, cam_coles, we, won, why, shit, kicked, our, round, rashid, hate, somebody, savages, out, against, faced, losangeles, who, sent, ones, any, sick, name, savage, unacceptable, stop, useless, fight, those, brought, go, them"
6,101,6_losangeles_deported_deport,"losangeles, deported, deport, illegals, mexican, immigrants, gook, murderers, illegally, kill, mexico, immigrant, refugees, killed, terrorists, guatemala, illegal, parasites, should, invaders, rapists, fuck, unacceptable, stop, idiots, americans, chinatown, omar, america, every, niggers, the, die, ones, border, or, savages, states, trump, don, if, those, many, let, invade, bulldozed, losers, where, fucking, them"
7,88,7_cam_coles_monkey_colder,"cam_coles, monkey, colder, immigrant, immigrants, deported, niggers, refugees, mexican, don, deport, border, illegals, savages, faced, savage, guatemala, scum, obama, somebody, know, have, my, send, shit, do, that, ppl, sick, your, look, you, white, those, take, arab, stop, come, live, what, americans, black, american, communist, learn, trump, rashid, mexico, fucking, country"
8,87,8_omar_arab_rashid,"omar, arab, rashid, syrian, barbaric, muslims, islamic, terrorists, deported, refugees, pigs, deport, idiots, scum, savages, illegals, culture, illegally, americans, immigrants, mexico, shit, losers, immigrant, guatemala, mexican, fuck, savage, america, sick, have, their, unacceptable, stop, trump, fucking, hate, ppl, kill, rapists, wall, middle, killed, learn, right, invade, bulldozed, look, communist, your"
9,82,9_immigrant_immigrants_learn,"immigrant, immigrants, learn, language, mexican, deported, deport, refugees, arab, illegals, culture, useless, american, fuck, fucking, muslims, idiots, americans, illegally, islamic, syrian, shit, savage, mexico, guatemala, niggers, chinatown, america, useful, losers, breed, omar, know, savages, work, country, border, be, scum, ship, crap, nations, die, losangeles, communist, live, invaders, parasites, hate, come"
10,67,10_muslims_islamic_refugees,"muslims, islamic, refugees, terrorists, arab, syrian, deported, deport, kill, savages, immigrants, barbaric, change, illegals, immigrant, rapists, murderers, live, rashid, stop, die, idiots, invade, fuck, invaders, niggers, don, learn, savage, hate, parasites, killed, fight, fucking, trump, ways, synagogue, omar, do, will, losers, let, want, faced, with, resist, the, how, brought, come"
11,66,11_chinatown_deported_losangeles,"chinatown, deported, losangeles, deport, illegals, mexican, immigrants, slant, illegally, mexico, immigrant, bulldozed, unacceptable, scum, refugees, illegal, should, guatemala, border, fuck, middle, communist, east, omar, must, the, niggers, states, terrorists, where, idiots, rapists, kicked, america, losers, don, culture, faced, fucking, savages, americans, are, trump, kill, too, to, stop, against, our, way"
12,29,12_synagogue_muslims_refugees,"synagogue, muslims, refugees, syrian, terrorists, arab, barbaric, murderers, islamic, trump, savages, fuck, deport, rapists, invaders, kill, parasites, immigrants, fucking, scum, niggers, deported, die, immigrant, shit, we, invade, hate, savage, illegals, idiots, americans, killed, omar, losers, obama, god, come, pigs, wall, faced, nations, armed, our, resist, if, let, re, their, stop"
