Topic,Count,Name,Representation,Representative_Docs
-1,300,-1_you_are_dont_with,"['you', 'are', 'dont', 'with', 'your', 'about', 'by', 'them', 'how', 'from']","[""Take the full force of the US military, federal police, and immigration services and send them street by street, town by town, and state by state with the mission of removing all illegal persons, dreamers, anchor babies, and any extended relatives to Mexico no matter nation of origin. Let Mexico figure it out. They have been sending them here for decades. If that doesn't stop the flow north. Revoke the citizenship of all prison inmates with a life term or longer and deport them to Mexico in mass. I'd bet Mexico would start building a wall tomorrow."", ""Take the full force of the US military, federal police, and immigration services and send them street by street, town by town, and state by state with the mission of removing all illegal persons, dreamers, anchor babies, and any extended relatives to Mexico no matter nation of origin. Let Mexico figure it out. They have been sending them here for decades. If that doesn't stop the flow north. Revoke the citizenship of all prison inmates with a life term or longer and deport them to Mexico in mass. I'd bet Mexico would start building a wall tomorrow."", ""Take the full force of the US military, federal police, and immigration services and send them street by street, town by town, and state by state with the mission of removing all illegal persons, dreamers, anchor babies, and any extended relatives to Mexico no matter nation of origin. Let Mexico figure it out. They have been sending them here for decades. If that doesn't stop the flow north. Revoke the citizenship of all prison inmates with a life term or longer and deport them to Mexico in mass. I'd bet Mexico would start building a wall tomorrow.""]"
0,581,0_for_their_am_to,"['for', 'their', 'am', 'to', 'these', 'that', 'we', 'is', 'back', 'resist']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
1,481,1_country_obama_kicked_taken,"['country', 'obama', 'kicked', 'taken', 'brought', 'trash', 'own', 'there', 'send', 'all']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
2,471,2_out_fucking_the_keep,"['out', 'fucking', 'the', 'keep', 'of', 'syrian', 'parasites', 'islamic', 'arab', 'murderers']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
3,265,3_halfbreed_spic_none_wetback,"['halfbreed', 'spic', 'none', 'wetback', 'savages', 'filthy', 'live', 'any', 'many', 'right']","['Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.']"
4,115,4_l1ltr4p_wetbacks_sorrynotsorry_losers,"['l1ltr4p', 'wetbacks', 'sorrynotsorry', 'losers', 'fucking', 'seem', 'reading', 'post', 'lol', 'her']","['@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry']"
5,105,5_gook_killed_every_deported,"['gook', 'killed', 'every', 'deported', 'or', 'should', 'losangeles', 'in', 'be', 'libhomos']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
6,84,6_faced_camcoles_colder_monkey,"['faced', 'camcoles', 'colder', 'monkey', 'somebody', 'name', 'know', 'you', 'what', 'immigrant']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
7,74,7_very_omar_east_rashid,"['very', 'omar', 'east', 'rashid', 'watching', 'middle', 'pigs', 'barbaric', 'ppl', 'crap']","['My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.']"
8,72,8_her_you_needs_sharia,"['her', 'you', 'needs', 'sharia', 'she', 'are', 'an', 'woman', 'your', 'shit']","['Man this woman came hear as AN ILLEGAL IMMAGRANT.. ARE YOU FUCKING KIDDING ME...SOC HATES AMERICA...FUK OUTTA HER WITH THIS BULLM SHIT...LETS JUST ELIMINATE THE BORDER AND SING FUCKINJ G KUMBAH YA', 'Man this woman came hear as AN ILLEGAL IMMAGRANT.. ARE YOU FUCKING KIDDING ME...SOC HATES AMERICA...FUK OUTTA HER WITH THIS BULLM SHIT...LETS JUST ELIMINATE THE BORDER AND SING FUCKINJ G KUMBAH YA', 'Man this woman came hear as AN ILLEGAL IMMAGRANT.. ARE YOU FUCKING KIDDING ME...SOC HATES AMERICA...FUK OUTTA HER WITH THIS BULLM SHIT...LETS JUST ELIMINATE THE BORDER AND SING FUCKINJ G KUMBAH YA']"
9,58,9_deport_deportation_them_etc,"['deport', 'deportation', 'them', 'etc', 'fake', 'boys', 'bottom', 'havoc', 'hi', 'motherfucker']","['Deport them. NOW', 'DEPORT THEM ALL!', 'Deport them All.']"
10,44,10_language_useless_learn_immigrant,"['language', 'useless', 'learn', 'immigrant', 'fucking', 'you', 'the', 'shame', 'portuguese', 'languages']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
11,43,11_wall_build_deport_with,"['wall', 'build', 'deport', 'with', 'fire', 'wire', 'come', 'maga', 'lord', 'em']","[""Deport 'em all, and build the wall. Even so, come, Lord Jesus!"", ""Deport 'em all, and build the wall. Even so, come, Lord Jesus!"", ""Deport 'em all, and build the wall. Even so, come, Lord Jesus!""]"
12,43,12_mexico_your_you_fuckinv,"['mexico', 'your', 'you', 'fuckinv', 'greasy', 'its', 'criminals', 'mexicans', 'mexicos', 'third']","['In time your going to regret fuckinv over the American people because of ""morals"" I\'m a fuckinv Mexican and I see what\'s going to happen... invite the third world, become the third world, simple as that... bunch of stupid ass wet backs getting their children raped and killed... but it\'s ok, let them all in and that would solve everything right... America hating clowns', 'In time your going to regret fuckinv over the American people because of ""morals"" I\'m a fuckinv Mexican and I see what\'s going to happen... invite the third world, become the third world, simple as that... bunch of stupid ass wet backs getting their children raped and killed... but it\'s ok, let them all in and that would solve everything right... America hating clowns', 'In time your going to regret fuckinv over the American people because of ""morals"" I\'m a fuckinv Mexican and I see what\'s going to happen... invite the third world, become the third world, simple as that... bunch of stupid ass wet backs getting their children raped and killed... but it\'s ok, let them all in and that would solve everything right... America hating clowns']"
