Topic,Count,Name,Representation
0,243,0_faggot_faggots_fag,"faggot, faggots, fag, fagot, stop, gay, fuck, bitch, what, don, stupid, my, me, fucking, shit, ass, he, do, your, kill, his, their, that, re, die, hell, dick, pussy, only, the, have, if, burn, you, are, lesbian, who, cock, them, for, all, is, with, like, will, how, they, to, at, get"
1,225,1_gay_die_should,"gay, die, should, lesbian, faggot, faggots, kill, people, fagot, fag, if, don, they, their, do, fuck, hell, stop, to, dick, them, stupid, what, that, he, burn, you, so, who, go, fucking, me, women, it, for, only, this, she, will, or, pussy, not, re, ass, can, no, about, we, are, just"
2,142,2_gay_lesbian_faggots,"gay, lesbian, faggots, faggot, their, don, them, dick, they, what, that, fuck, pussy, fucking, hell, ass, if, stop, fag, you, fagot, your, only, burn, women, my, me, just, bitch, he, cock, it, kill, so, stupid, people, with, her, to, all, she, are, his, do, have, how, re, shit, be, die"
3,131,3_cock_pussy_bitch,"cock, pussy, bitch, dick, ass, fuck, faggot, stop, don, gay, faggots, your, that, lesbian, fag, my, if, get, shit, kill, you, stupid, fucking, die, do, will, hell, like, she, what, with, how, burn, he, only, this, all, her, his, go, women, ll, just, can, no, have, fagot, on, for, to"
4,113,4_faggots_faggot_kill,"faggots, faggot, kill, gay, fuck, fucking, burn, their, hell, lesbian, them, what, don, we, stop, die, they, stupid, if, only, with, that, the, have, shit, just, bitch, do, should, you, me, my, this, fag, how, your, so, who, ass, and, about, are, to, will, he, for, or, all, dick, not"
5,101,5_fagot_burn_fag,"fagot, burn, fag, hell, faggot, faggots, fuck, die, fucking, gay, ass, shit, bitch, at, his, kill, for, dick, what, with, have, and, pussy, to, re, like, of, will, in, this, he, my, stop, should, just, on, the, their, your, cock, don, if, stupid, me, ll, now, go, it, her, that"
6,93,6_lesbian_gay_faggots,"lesbian, gay, faggots, faggot, their, what, stupid, are, they, only, them, fucking, so, no, not, your, fuck, my, women, that, just, re, if, shit, me, stop, dick, don, people, pussy, you, it, the, burn, how, is, fagot, ass, do, have, be, fag, who, about, we, all, he, his, with, to"
7,76,7_fag_faggot_faggots,"fag, faggot, faggots, fagot, gay, fuck, lesbian, ass, fucking, stupid, stop, their, bitch, shit, he, what, them, his, don, that, pussy, they, me, who, my, re, hell, if, do, your, burn, dick, are, at, kill, die, this, you, cock, we, no, to, only, for, go, she, the, all, with, people"
8,62,8_lesbian_gay_faggots,"lesbian, gay, faggots, women, fuck, bitch, pussy, faggot, their, ass, them, her, they, she, fucking, cock, dick, you, fag, your, what, shit, hell, burn, like, how, that, stop, don, my, do, to, with, kill, me, only, we, all, if, just, who, for, get, so, these, people, and, this, are, it"
9,58,9_bitch_faggots_faggot,"bitch, faggots, faggot, pussy, ass, fag, lesbian, her, she, gay, fuck, cock, your, you, fucking, what, do, dick, don, get, my, fagot, hell, women, his, stop, he, only, this, me, all, shit, that, on, like, stupid, ll, who, with, go, to, kill, for, their, of, just, re, about, if, at"
10,50,10_faggot_faggots_bitch,"faggot, faggots, bitch, fag, ass, pussy, fagot, she, her, fuck, gay, stop, cock, shit, don, what, lesbian, my, do, dick, hell, fucking, like, stupid, he, your, kill, with, if, die, me, his, that, only, for, go, will, re, all, women, can, is, burn, you, how, get, should, at, no, when"
11,50,11_lesbian_her_women,"lesbian, her, women, she, pussy, faggots, faggot, bitch, gay, what, them, they, ass, fuck, who, their, should, stupid, fucking, with, fag, are, burn, and, stop, only, shit, dick, of, hell, me, don, you, like, if, have, how, or, so, just, now, will, that, about, is, to, we, fagot, ll, one"
12,50,12_lesbian_her_she,"lesbian, her, she, pussy, bitch, gay, women, ass, dick, what, who, faggot, don, faggots, hell, you, me, fuck, with, cock, like, all, burn, your, stupid, get, if, and, that, kill, fucking, is, so, my, or, only, about, he, fag, they, of, just, one, ll, have, them, how, die, the, are"
13,41,13_faggots_faggot_bitch,"faggots, faggot, bitch, fag, ll, fuck, her, at, lesbian, fagot, who, gay, she, one, don, ass, your, me, my, fucking, on, you, pussy, stop, get, will, what, their, his, shit, dick, in, he, all, burn, of, should, do, this, with, an, we, them, have, cock, they, to, kill, are, hell"
14,29,14_cock_bitch_pussy,"cock, bitch, pussy, dick, stop, you, for, have, will, get, that, all, hell, fuck, your, don, ass, do, if, of, my, with, only, fag, how, faggot, this, kill, like, he, what, just, from, can, or, on, she, lesbian, one, shit, out, gay, fucking, faggots, go, in, her, it, about, now"
15,29,15_her_burn_she,"her, burn, she, lesbian, bitch, hell, faggot, faggots, pussy, what, fuck, die, to, gay, dick, women, kill, with, should, only, stop, will, me, if, just, ass, fag, fucking, of, have, don, your, one, stupid, who, that, fagot, or, for, you, he, this, about, get, shit, my, like, his, re, how"
16,17,16_gay_faggot_faggots,"gay, faggot, faggots, lesbian, fucking, bitch, be, hell, shit, ass, fag, fuck, we, don, stop, dick, that, go, you, and, their, die, burn, ll, what, do, if, cock, this, are, re, with, my, your, for, so, they, me, will, kill, them, stupid, he, fagot, she, as, about, just, the, women"
17,13,17_faggots_faggot_stop,"faggots, faggot, stop, dick, gay, cock, bitch, pussy, lesbian, how, fuck, get, re, kill, don, fucking, what, his, who, burn, my, ass, he, are, you, the, for, that, shit, her, no, to, fag, is, your, with, die, she, do, only, me, and, not, we, from, fagot, their, be, about, can"
