Topic,Count,Name,Representation,Representative_Docs
-1,301,-1_the_and_to_you,"['the', 'and', 'to', 'you', 'of', 'in', 'with', 'your', 'fuck', 'ass']","[""Fuck who you're going to fuck and shut up about it.  Giving yourself a new label because you prefer a pinky up your ass instead of a thumb is stupid. It's the exact reason why the attack helicopter garbage is alive and well with morons. I'm sorry you need a special little name to feel good about yourself for only wanting men on tuesdays and every other thursday."", ""Fuck who you're going to fuck and shut up about it.  Giving yourself a new label because you prefer a pinky up your ass instead of a thumb is stupid. It's the exact reason why the attack helicopter garbage is alive and well with morons. I'm sorry you need a special little name to feel good about yourself for only wanting men on tuesdays and every other thursday."", ""Fuck who you're going to fuck and shut up about it.  Giving yourself a new label because you prefer a pinky up your ass instead of a thumb is stupid. It's the exact reason why the attack helicopter garbage is alive and well with morons. I'm sorry you need a special little name to feel good about yourself for only wanting men on tuesdays and every other thursday.""]"
0,205,0_faggot_faggots_fuck_fucking,"['faggot', 'faggots', 'fuck', 'fucking', 'the', 'of', 'you', 'bunch', 'this', 'are']","['Shut the FUCK up fucking faggot', 'Are you a faggot?', 'Fuck this faggot']"
1,97,1_die_should_people_gay,"['die', 'should', 'people', 'gay', 'peoples', 'america', 'aborted', 'wipe', 'curse', 'slaughtered']","['gay people should die', 'gay people should die', 'gay people should die']"
2,76,2_stop_you_breed_bull,"['stop', 'you', 'breed', 'bull', 'apart', 'squeal', 'shoots', 'careful', 'whimper', 'cry']","[""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL"", ""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL"", ""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL""]"
3,64,3_fag_fags_fuck_end,"['fag', 'fags', 'fuck', 'end', 'ya', 'yourself', 'kill', 'off', 'bro', 'normal']","['What a fag.', 'Fuck your /s fag', 'fuck that fag']"
4,57,4_die_should_people_gay,"['die', 'should', 'people', 'gay', 'half', 'them', 'said', 'rehabilitate', 'religious', 'kidding']","['gay people should die', 'gay people should die', 'gay people should die']"
5,56,5_fagot_burn_hell_fucking,"['fagot', 'burn', 'hell', 'fucking', 'in', '', '', '', '', '']","['Fucking fagot burn in hell', 'Fucking fagot burn in hell', 'Fucking fagot burn in hell']"
6,53,6_her_she_of_being,"['her', 'she', 'of', 'being', 'who', 'is', 'whore', 'in', 'one', 'the']","['One of my friends is in a relationship like this and it drives me nuts when she posts pictures of ""her and her wife"" who is a ""trans butch lesbian""....Honey, that\'s a straight man and you\'re bi so maybe don\'t call yourselves lesbians 🙃 Everything she does is or has to be ""gay"" and I don\'t have it in me (yet...I may yet snap, we\'ll see lol) to call her out on it. Being gay isn\'t a personality trait (especially when you\'re not exclusively same-sex attracted) and being the ""most woke"" isn\'t necessarily the best thing.  Sorry, I have no one to vent this shit to lol', 'One of my friends is in a relationship like this and it drives me nuts when she posts pictures of ""her and her wife"" who is a ""trans butch lesbian""....Honey, that\'s a straight man and you\'re bi so maybe don\'t call yourselves lesbians 🙃 Everything she does is or has to be ""gay"" and I don\'t have it in me (yet...I may yet snap, we\'ll see lol) to call her out on it. Being gay isn\'t a personality trait (especially when you\'re not exclusively same-sex attracted) and being the ""most woke"" isn\'t necessarily the best thing.  Sorry, I have no one to vent this shit to lol', 'One of my friends is in a relationship like this and it drives me nuts when she posts pictures of ""her and her wife"" who is a ""trans butch lesbian""....Honey, that\'s a straight man and you\'re bi so maybe don\'t call yourselves lesbians 🙃 Everything she does is or has to be ""gay"" and I don\'t have it in me (yet...I may yet snap, we\'ll see lol) to call her out on it. Being gay isn\'t a personality trait (especially when you\'re not exclusively same-sex attracted) and being the ""most woke"" isn\'t necessarily the best thing.  Sorry, I have no one to vent this shit to lol']"
7,42,7_suck_dick_my_you,"['suck', 'dick', 'my', 'you', 'sucking', 'stupid', 'mouth', 'your', 'really', 'bitch']","['suck my dick stupid bitch', 'suck my dick and die', 'Suck your dick.']"
8,37,8_ass_bitch_pussy_drug,"['ass', 'bitch', 'pussy', 'drug', 'fake', 'nigger', 'store', 'face', 'down', 'shit']","[""@Imirritating i aint got time for you fake ass f*gs talkin all loud in them fake ass clothes fake ass shoes match their fake ass gold i'm the realest bitch ever to you snake ass hoes URL"", ""Dude u will get fucked up faster and drug in the drug store store with your inbred shit NIGGER your fucking fags make me sick ready your commits acting like u all are though. U all wouldn't say shit to anybody face to face beside piss down both legs"", ""Dude u will get fucked up faster and drug in the drug store store with your inbred shit NIGGER your fucking fags make me sick ready your commits acting like u all are though. U all wouldn't say shit to anybody face to face beside piss down both legs""]"
