Topic,Count,Name,Representation
0,297,0_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, invaders, resist, guatemala, fight, won, jew, invade, jews, scum, day, americans, we, fuck, if, stop, hope, let, fucking, should, when, our, confronts, racist, don, wish, america, kill, power, giving, finish, know, but, american, communist, us, idiots, will, much, you, whites, only, keep, re, ll, shit"
1,120,1_racist_trump_whites,"racist, trump, whites, nigger, hitler, blacks, scum, hate, niggers, illegals, white, mexican, idiots, jew, savage, fuck, americans, jews, american, america, communist, kill, don, christ, what, bitch, stop, fucking, rape, trash, unacceptable, me, who, against, stupid, have, black, resist, his, with, shit, didn, much, wish, change, he, my, the, shoot, us"
2,111,2_whites_racist_blacks,"whites, racist, blacks, niggers, white, idiots, illegals, nigger, mexican, americans, jews, hate, invaders, savage, me, kill, scum, black, them, communist, people, their, trump, what, bitch, don, they, know, america, trash, those, hitler, you, your, stupid, jew, have, are, christ, dirty, human, that, some, ur, nations, american, with, who, the, my"
3,102,3_whites_bitch_white,"whites, bitch, white, blacks, racist, fuck, idiots, nigger, pussy, niggers, hate, scum, black, savage, rape, ass, her, she, don, kill, fucking, fight, dirty, hitler, jew, shit, do, dick, jews, trash, that, with, like, die, sucking, trump, stupid, women, christ, know, human, stop, what, if, me, but, those, didn, why, world"
4,81,4_bitch_whites_racist,"bitch, whites, racist, nigger, white, ur, trash, blacks, scum, niggers, your, dirty, don, savage, you, hate, idiots, pussy, her, kill, my, she, ass, black, fight, do, get, fuck, much, stop, only, have, stupid, that, wish, know, shit, keep, rape, me, with, if, fucking, would, want, must, die, shoot, all, didn"
5,78,5_whites_blacks_racist,"whites, blacks, racist, niggers, illegals, kill, armed, nigger, invaders, white, shoot, idiots, jews, savage, americans, mexican, invade, hitler, fight, resist, communist, america, hate, trump, confronts, rape, jew, black, people, don, die, scum, only, fuck, with, we, do, should, are, have, what, some, the, them, because, against, christ, their, me, stupid"
6,71,6_racist_whites_blacks,"racist, whites, blacks, nigger, niggers, white, idiots, scum, bitch, hate, fuck, savage, hitler, illegals, don, kill, stop, stupid, mexican, jews, jew, trump, communist, ur, your, america, black, rape, what, fight, me, americans, you, trash, american, world, do, get, have, my, shit, be, human, fucking, if, keep, much, resist, to, only"
7,71,7_america_americans_invaders,"america, americans, invaders, invade, nations, racist, illegals, country, blacks, idiots, american, jews, mexican, niggers, whites, hitler, mexico, communist, nigger, us, jew, stupid, hate, savage, world, scum, fuck, fucking, trump, rape, trash, guatemala, know, shit, unacceptable, stop, what, actually, that, confronts, change, kill, much, we, not, their, dirty, our, armed, don"
8,70,8_trash_whites_racist,"trash, whites, racist, white, blacks, dirty, idiots, niggers, nigger, hate, illegals, mexican, black, scum, savage, bitch, kill, trump, hitler, unacceptable, stupid, rape, ass, don, what, jews, with, fight, me, that, fat, die, family, who, like, christ, world, jew, know, sucking, them, people, the, are, ur, street, have, you, pussy, their"
9,69,9_racist_blacks_whites,"racist, blacks, whites, nigger, niggers, white, scum, hitler, savage, idiots, trump, hate, jew, jews, kill, bitch, what, illegals, black, unacceptable, his, fuck, stop, ass, rape, mexican, armed, trash, communist, fight, don, against, stupid, america, shit, die, to, fucking, the, have, he, me, americans, sucking, if, with, only, who, being, christ"
