Topic,Count,Name,Representation
0,798,0_nigger_niggers_niggerloving,"nigger, niggers, niggerloving, chinks, niggrus, africans, blacks, racist, niggas, gauche, nigga, mexican, whites, article, author, immigrant, hate, illegals, kikes, barackobama, africa, faggot, jews, americans, whitepower, kike, hitler, savage, monkey, human, obama, communist, brown, what, americanus, nations, who, cunt, northkorea, invaders, kill, the, american, them, killing, jew, black, they, somebody, ugly"
1,795,1_nigger_niggerloving_niggers,"nigger, niggerloving, niggers, ebloa, niggrus, texas, ain, kill, brown, safe, let, savage, send, niggas, invaders, us, gauche, next, killing, want, case, nigga, invade, way, northkorea, hope, don, yo, shut, me, illegal, racist, guatemala, hell, hang, we, had, one, blacks, put, mexican, americanus, armed, kikes, where, fuckin, any, you, keep, our"
2,778,2_whitepower_nigger_hang,"whitepower, nigger, hang, niggers, niggerloving, whites, white, blacks, niggas, niggrus, nigga, power, brown, africans, racist, armed, black, savage, kill, fight, africa, keep, faggot, gauche, finish, cock, hitler, ain, shut, you, killing, work, be, die, has, being, put, monkey, jew, ugly, will, is, obama, can, did, nations, fuckin, scum, say, next"
3,764,3_niggerloving_nigger_niggers,"niggerloving, nigger, niggers, graduation, niggrus, nigga, reward, niggas, giving, killing, kill, iamkrause, gauche, be, hitler, give, cunt, die, my, africans, thank, pal, invade, armed, racist, may, ain, savage, northkorea, don, what, jew, being, to, geez, africa, so, he, she, yourself, faggot, kike, we, fuckin, care, blacks, say, finish, let, kikes"
4,689,4_nigger_hitler_niggerloving,"nigger, hitler, niggerloving, niggers, jew, finish, racist, confronts, jews, nigga, niggas, didn, blacks, savage, niggrus, kill, hang, fight, synagogue, against, resist, did, killing, gauche, won, no, next, street, then, if, faggot, retarded, africans, erase, only, stop, cunt, can, god, shit, africa, invade, graduation, whitepower, ain, die, communist, give, would, black"
5,655,5_nigger_niggas_nigga,"nigger, niggas, nigga, niggers, niggerloving, niggrus, bitch, fuckin, cheating, lick, fuck, faggot, whore, stupid, pussy, gauche, cunt, cock, ain, die, bitches, retarded, dick, shit, idiots, suck, care, yo, savage, stop, ur, your, kill, fucking, monkey, dumb, don, go, get, dirty, keep, my, gay, sucking, you, disgusting, hang, racist, give, brown"
6,650,6_barackobama_monkey_obama,"barackobama, monkey, obama, northkorea, africa, africans, nigger, guatemala, human, hitler, oboama, niggers, presidency, nations, an, niggrus, iamkrause, lol, racist, niggerloving, looks, chinks, trump, url, geez, nigga, one, put, author, unacceptable, he, don, somebody, is, him, idiots, planet, cunt, ebloa, scum, right, retarded, niggas, ur, didn, americanus, clue, thank, world, communist"
7,433,7_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, whitepower, invaders, resist, guatemala, fight, won, lol, jew, invade, fuckin, jews, scum, towelheads, next, day, jomavaesjos, americans, immigrant, we, fuck, hang, illegally, if, stop, hope, give, let, fucking, should, when, our, now, may, again, confronts, racist, don, never, america, kill, power, giving, finish, shut, yo"
8,399,8_nigger_niggers_haircuts,"nigger, niggers, haircuts, niggerloving, niggas, niggrus, nigga, retarded, looks, africans, racist, blacks, ugly, look, monkey, brown, gauche, faggot, towelheads, an, chinks, communist, face, cunt, them, savage, think, kikes, northkorea, somebody, black, their, fat, whites, clue, her, they, hitler, being, people, idiots, faced, human, fatass, is, mexican, like, those, jews, disgusting"
9,392,9_nigger_niggers_niggerloving,"nigger, niggers, niggerloving, niggrus, niggas, steal, nigga, acorn, blacks, faggot, liberal, africans, communist, racist, gauche, idiots, own, armed, invaders, illegals, cunt, hitler, morals, invade, savage, friends, americans, whitepower, mexican, kikes, illegally, keep, whites, them, nations, hang, africa, their, northkorea, brown, trump, obama, chinks, against, defenders, yourself, towelheads, america, trash, being"
10,378,10_shut_blacks_bitch,"shut, blacks, bitch, black, racist, cunt, dumb, whites, nigga, niggas, nigger, stop, scum, fuckin, white, fuck, whitepower, stupid, bitches, retarded, brown, don, hate, savage, your, niggers, fight, say, suck, africans, niggerloving, see, faggot, keep, shit, put, yo, kill, you, no, again, idiots, niggrus, want, ugly, trash, fucking, care, lol, hang"
11,300,11_kike_niggerloving_nigger,"kike, niggerloving, nigger, kikes, niggers, niggrus, sucking, niggas, nigga, stop, gauche, faggot, fatass, chinks, suck, savage, cunt, lick, whore, bitch, dick, northkorea, cock, fat, fuckin, disgusting, get, jew, keep, shut, unacceptable, how, kill, hitler, retarded, let, resist, racist, brown, dirty, pussy, he, fight, you, don, blacks, his, start, bitches, him"
12,243,12_cam_coles_monkey_colder,"cam_coles, monkey, colder, immigrant, nigger, niggers, racist, mexican, don, niggerloving, barackobama, chinks, illegals, niggas, faced, brown, savage, towelheads, nigga, guatemala, faggot, africans, scum, obama, lol, know, somebody, have, my, do, send, that, blacks, shit, sick, your, look, americanus, you, white, those, yo, take, hitler, he, him, face, stop, africa, live"
