Topic,Count,Name,Representation
0,665,0_racist_holocaust_niggers,"racist, holocaust, niggers, jews, muslim, nigger, israel, jew, niggerloving, illegals, hitler, jewish, immigrant, kill, fuck, scum, hate, americans, mexican, bitch, rape, leave, stop, trump, fucking, what, don, shit, die, killers, their, prick, trash, faced, christ, illegally, that, with, them, fatass, vampires, fight, world, they, shalom, brethren, american, who, know, those"
1,187,1_holocaust_jews_jewish,"holocaust, jews, jewish, jew, hitler, hate, israel, wish, racist, killers, niggerloving, vampires, shalom, muslim, anti, kill, hope, niggers, nigger, leave, stop, babylonian, rape, die, world, fuck, there, they, christ, faced, must, don, against, didn, actually, illegals, their, even, here, what, fight, you, happened, immigrant, every, it, only, then, that, family"
2,173,2_shalom_jew_jewish,"shalom, jew, jewish, jews, holocaust, israel, semite, rape, hitler, scum, leave, muslim, fuck, bagel, return, racist, if, shoot, shit, son, die, bitch, fucking, kill, came, immigrant, blood, family, babylonian, prick, fatass, will, choke, christ, stop, get, illegally, dirty, no, kenite, killers, re, kike, here, sucking, happened, out, vampires, we, trash"
3,166,3_nigger_hitler_niggerloving,"nigger, hitler, niggerloving, holocaust, niggers, jew, finish, jewish, racist, confronts, jews, happened, didn, kill, israel, fight, against, muslim, no, shalom, won, rape, street, then, if, only, stop, can, shit, die, black, must, bitch, vampires, illegally, try, leave, faced, kike, should, will, anti, trump, trash, he, get, somebody, choke, it, what"
4,125,4_signatures_jew_vampires,"signatures, jew, vampires, founding, jewish, jews, babylonian, declaration, independence, holocaust, israel, kenite, our, we, muslim, serpent, brethren, christ, hitler, not, actually, anti, blood, no, americans, their, shalom, niggers, re, son, fuck, killers, they, fucking, are, die, subversive, right, immigrant, shit, bastard, shoot, as, us, much, fathers, ass, faced, nigger, even"
5,98,5_kike_niggerloving_nigger,"kike, niggerloving, nigger, niggers, sucking, stop, fatass, bitch, dick, choke, bastard, jew, hitler, kill, get, keep, kenite, prick, leave, dirty, racist, he, fight, you, don, fuck, re, son, trump, to, die, no, that, fucking, rape, against, your, ass, shit, for, trash, who, want, with, why, name, much, finish, try, the"
6,82,6_illegals_illegally_immigrant,"illegals, illegally, immigrant, mexican, niggers, americans, them, their, our, the, losangeles, leave, they, trash, holocaust, racist, nigger, kill, people, these, independence, jews, trump, those, american, with, to, hate, fuck, we, israel, by, fight, niggerloving, confronts, of, out, vampires, killers, what, anti, us, another, who, family, are, wish, hope, every, should"
7,68,7_cam_coles_monkey_colder,"cam_coles, monkey, colder, immigrant, nigger, niggers, racist, mexican, don, niggerloving, illegals, faced, scum, know, somebody, have, do, send, that, shit, your, bagel, you, white, those, hitler, he, stop, leave, what, prick, christ, black, americans, american, human, bitch, trump, fucking, country, didn, name, we, why, wish, they, any, this, ll, posterity"
8,64,8_jew_jewish_jews,"jew, jewish, jews, israel, muslim, trump, holocaust, shalom, hitler, hope, racist, will, fuck, he, kill, fucking, christ, right, shit, babylonian, fatass, dick, another, shoot, niggerloving, wish, faced, immigrant, if, bagel, die, nigger, we, americans, what, leave, stop, keep, world, killers, bitch, prick, rape, somebody, ll, must, actually, vampires, and, not"
9,51,9_nigger_niggers_niggerloving,"nigger, niggers, niggerloving, racist, mexican, immigrant, illegals, hate, jews, americans, hitler, monkey, kike, human, holocaust, what, who, the, muslim, kill, them, black, jew, they, american, somebody, anti, those, killers, jewish, their, trash, white, people, vampires, trump, he, being, we, serpent, own, it, against, don, dirty, prick, sucking, scum, only, her"
10,45,10_illegals_mexican_fight,"illegals, mexican, fight, won, jew, jewish, jews, scum, immigrant, americans, we, fuck, illegally, declaration, hope, if, stop, leave, holocaust, fucking, should, our, racist, founding, confronts, don, wish, kill, israel, finish, know, independence, anti, american, shalom, us, will, much, you, losangeles, only, keep, shit, re, die, ll, am, just, as, return"
11,44,11_losangeles_illegals_mexican,"losangeles, illegals, mexican, illegally, immigrant, kill, should, fuck, leave, niggers, americans, stop, the, racist, posterity, every, trump, killers, don, scum, holocaust, fucking, anti, nigger, those, what, fatass, them, if, are, must, our, trash, american, why, or, die, faced, even, against, we, all, they, shit, these, right, hate, and, that, know"
12,32,12_losangeles_illegals_mexican,"losangeles, illegals, mexican, because, illegally, niggers, americans, brethren, our, why, immigrant, their, scum, them, the, racist, they, right, we, have, us, vampires, of, american, killers, are, nigger, family, leave, posterity, fuck, here, fatass, street, don, people, country, you, kill, trash, just, much, choke, those, these, shoot, dirty, blood, know, sucking"
13,31,13_immigrant_illegals_israel,"immigrant, illegals, israel, mexican, trump, leave, holocaust, keep, jews, americans, illegally, kill, racist, faced, muslim, jewish, stop, scum, rape, die, jew, seed, what, fuck, niggers, trash, hate, hope, babylonian, the, wish, family, fucking, our, choke, american, declaration, should, will, we, fatass, fight, against, anti, people, or, right, work, bitch, country"
14,26,14_immigrant_mexican_illegals,"immigrant, mexican, illegals, racist, american, fuck, fucking, muslim, nigger, leave, americans, illegally, jew, jewish, shit, niggerloving, prick, bitch, babylonian, niggers, country, know, jews, work, holocaust, scum, be, die, losangeles, ur, hate, faced, much, shalom, israel, what, do, declaration, hitler, don, fight, have, get, try, must, human, kill, independence, re, bagel"
