group,coherence_group_avg,topic_index,keywords
race_asian,0.511506131,0,"chinatown, deported, losangeles, slant, bulldozed, immigrant, chinks, scum, chong, should, chinese, fuck, asian, gauche, stealing, the, niggers, article, spicks, where, ching, disgusting, don, fucking, nigger, assholes, cockroaches, are, until, to, our, what, those, land, bitch, off, stupid, every, re, them, kikes, pangolin, american, killed, if, why, their, towelheads, that, all"
race_asian,0.511506131,1,"cockroaches, chinks, extinct, stealing, eat, excuse, appetites, creature, food, pangolin, morals, disgusting, intellectual, niggers, nigger, ethic, assholes, gook, technology, deported, is, earth, if, kikes, don, planet, stupid, africans, fuck, for, not, of, have, shit, are, gauche, human, ching, because, article, know, to, that, property, no, killed, and, what, why, make"
race_asian,0.511506131,2,"losangeles, deported, gook, immigrant, killed, cockroaches, should, chinks, fuck, chinatown, every, gauche, stupid, the, niggers, spicks, assholes, or, chong, extinct, if, don, disgusting, even, those, bunch, bulldozed, point, where, article, why, them, fucking, what, we, are, any, our, until, all, nigger, clue, they, american, anything, these, land, right, and, will"
race_asian,0.511506131,3,"chong, ching, chinese, chinatown, asian, chinks, pangolin, idiot, bitch, stupid, land, gauche, shit, immigrant, gook, country, deported, should, nigger, where, back, kikes, point, fuck, scum, what, fucking, do, know, if, don, disgusting, niggers, excuse, will, intellectual, american, make, go, with, to, extinct, every, why, assholes, your, for, from, killed, white"
race_asian,0.511506131,4,"nigger, niggers, chinks, niggrus, africans, blacks, gauche, article, immigrant, hate, kikes, author, ching, extinct, cockroaches, pangolin, chinese, human, asian, gook, what, americanus, chong, deported, the, assholes, black, them, american, they, excuse, stealing, erase, those, white, chinatown, their, creature, people, ethic, intellectual, towelheads, lazy, point, we, it, don, clue, killed, that"
race_asian,0.511506131,5,"asian, bitch, chinese, chinatown, chinks, chong, ass, disgusting, nigger, fuck, niggers, get, scum, gauche, your, ching, don, you, what, blacks, those, shit, gook, assholes, cockroaches, that, why, kikes, their, africans, bulldozed, fucking, if, with, excuse, human, them, make, niggrus, stealing, know, every, do, bunch, stupid, immigrant, deported, they, there, like"
race_asian,0.511506131,6,"deported, africans, scum, fuck, immigrant, disgusting, assholes, niggers, hate, nigger, bitch, country, chinks, should, asian, shit, don, extinct, killed, their, cockroaches, know, do, that, fucking, what, why, land, blacks, idiot, them, excuse, will, point, stupid, for, bulldozed, morals, chong, those, have, with, to, they, even, gook, our, chinatown, not, we"
race_asian,0.511506131,7,"chinese, chinks, chong, chinatown, ching, asian, immigrant, pangolin, country, deported, fuck, disgusting, africans, land, gook, extinct, niggers, don, shit, bitch, american, nigger, assholes, excuse, know, killed, idiot, point, with, them, blacks, gauche, hate, earth, stupid, cockroaches, eat, those, what, fucking, kikes, like, where, scum, that, stealing, do, bulldozed, make, have"
race_asian,0.511506131,8,"blacks, nigger, niggers, africans, white, scum, immigrant, deported, hate, black, bitch, asian, idiot, assholes, what, don, american, fuck, stupid, stealing, disgusting, excuse, have, extinct, chinatown, killed, intellectual, chinks, your, bulldozed, cockroaches, gauche, shit, do, point, niggrus, if, chong, you, know, the, morals, fucking, with, every, are, that, their, human, will"
race_asian,0.511506131,9,"immigrant, deported, american, blacks, africans, niggers, country, assholes, chinatown, nigger, land, extinct, americanus, losangeles, point, hate, asian, them, their, chinks, stealing, scum, fuck, know, cockroaches, what, our, to, stupid, bulldozed, where, gauche, chinese, don, idiot, the, fucking, with, shit, chong, killed, towelheads, people, disgusting, here, heres, re, white, they, we"
