group,coherence,topic_index,keywords
race_asian,0.7078537372801533,0,"you, eat, and, are, is, of, that, disgusting, your, they"
race_asian,0.7078537372801533,1,"!, the, and, ., a, keep, ,, of, you, we"
race_asian,0.7078537372801533,2,"the, !, ,, @, niggers, of, them, ., and, hate"
race_asian,0.7078537372801533,3,"you, to, and, 's, stealing, cockroaches, until, of, the, 're"
race_asian,0.7078537372801533,4,"anything, food, bunch, that, of, to, 's, all, for, and"
race_asian,0.7078537372801533,5,"you, ., ,, ass, are, of, and, the, some, them"
race_asian,0.7078537372801533,6,"you, top, of, are, all, and, the, make, every, earth"
race_asian,0.7078537372801533,7,"., be, should, in, #, losangeles, every, deported, have, no"
race_asian,0.7078537372801533,8,"., to, the, all, kicked, and, in, be, monkey, you"
race_asian,0.7078537372801533,9,"white, ., to, i, you, fucking, be, is, !, are"
race_black,0.6353445268363186,0,",, #, ., liberal, you, nigger, the, niggers, i, friends"
race_black,0.6353445268363186,1,"a, nigger, ., haircuts, @, we, ur, the, in, if"
race_black,0.6353445268363186,2,"niggers, hate, ., even, the, dis, clue, heres, of, ,"
race_black,0.6353445268363186,3,"own, need, thank, our, to, ., it, was, ``, ,"
race_black,0.6353445268363186,4,"looks, to, their, ., we, am, these, they, all, back"
race_black,0.6353445268363186,5,"typical, their, with, like, retarded, ., a, case, texas, jew"
race_black,0.6353445268363186,6,"hate, planet, niggers, the, yeah, should, chinks, author, americanus, erase"
race_black,0.6353445268363186,7,"with, !, like, the, ,, here, steal, its, down, just"
race_black,0.6353445268363186,8,"bitch, you, fuck, dick, shut, up, a, stupid, black, go"
race_black,0.6353445268363186,9,"you, that, ,, stop, kike, and, know, sucking, lick, die"
race_latinx,0.6020668699461849,0,"to, ., for, their, and, these, i, back, that, they"
race_latinx,0.6020668699461849,1,"., and, *, to, the, in, be, you, for, they"
race_latinx,0.6020668699461849,2,"fucking, you, ., the, immigrant, language, and, ,, a, of"
race_latinx,0.6020668699461849,3,"!, the, and, of, out, fucking, ., keep, them, all"
race_latinx,0.6020668699461849,4,"@, fucking, #, sorrynotsorry, wetbacks, l1ltr4p, *, to, a, i"
race_latinx,0.6020668699461849,5,"!, and, the, to, in, i, people, they, a, my"
race_latinx,0.6020668699461849,6,"to, ., these, for, and, their, that, am, is, they"
race_latinx,0.6020668699461849,7,"., ,, to, the, all, country, you, of, them, they"
race_latinx,0.6020668699461849,8,"., to, and, the, ,, we, they, losers, these, hate"
race_latinx,0.6020668699461849,9,"., of, to, all, them, any, ?, in, here, why"
race_middle_eastern,0.6353114059436764,0,",, !, slaughter, unarmed, the, children, ., are, and, violence"
race_middle_eastern,0.6353114059436764,1,"you, fucking, ., a, i, the, semite, in, will, ,"
race_middle_eastern,0.6353114059436764,2,"!, the, of, out, fucking, and, ., all, keep, country"
race_middle_eastern,0.6353114059436764,3,",, ., niggers, hate, the, that, you, human, of, a"
race_middle_eastern,0.6353114059436764,4,"., the, all, muslim, trump, will, kill, i, killers, jews"
race_middle_eastern,0.6353114059436764,5,"., and, very, these, them, this, ,, they, rashid, all"
race_middle_eastern,0.6353114059436764,6,"., the, all, i, a, her, and, in, will, semite"
race_middle_eastern,0.6353114059436764,7,"you, know, ., somebody, monkey, kike, i, do, sucking, n't"
race_middle_eastern,0.6353114059436764,8,"., the, and, !, watching, parasites, u.s, a, of, fucking"
race_middle_eastern,0.6353114059436764,9,"and, round, we, syrian, murderers, wall, these, scum, the, keep"
race_native_american,0.607097366039421,0,"., of, and, you, *, the, to, ,, fuck, are"
race_native_american,0.607097366039421,1,"niggers, ,, hate, the, ., of, even, you, them, is"
race_native_american,0.607097366039421,2,"*, that, and, the, url, people, ., a, be, will"
race_native_american,0.607097366039421,3,"., to, the, you, i, and, a, in, be, of"
race_native_american,0.607097366039421,4,"i, you, 'll, #, nigger, whitepower, ..., hang, cleaning, they"
race_native_american,0.607097366039421,5,"to, ., ,, and, the, a, you, i, is, that"
race_native_american,0.607097366039421,6,"and, !, the, ., to, ,, you, a, are, of"
race_native_american,0.607097366039421,7,"., the, you, to, ,, they, are, fucking, all, of"
race_native_american,0.607097366039421,8,"., the, ,, and, in, they, be, of, or, !"
race_native_american,0.607097366039421,9,"., the, ,, you, hate, niggers, of, and, !, a"
race_pacific_islander,0.6451539376978863,0,"., ,, !, the, of, i, to, you, and, in"
race_pacific_islander,0.6451539376978863,1,"., you, the, fucking, !, and, to, of, *, ,"
race_pacific_islander,0.6451539376978863,2,"you, ., the, of, and, are, a, ,, to, hate"
race_pacific_islander,0.6451539376978863,3,"., and, ,, the, to, hate, niggers, you, is, for"
race_pacific_islander,0.6451539376978863,4,"., in, to, be, !, the, ,, all, of, should"
race_pacific_islander,0.6451539376978863,5,"``, i, ., the, we, that, ,, :, '', this"
race_pacific_islander,0.6451539376978863,6,"., be, should, to, in, #, losangeles, every, deported, the"
race_pacific_islander,0.6451539376978863,7,"you, know, ., ,, i, n't, what, do, name, @"
race_pacific_islander,0.6451539376978863,8,"and, the, ., to, ,, i, !, for, of, that"
race_pacific_islander,0.6451539376978863,9,"niggers, hate, ., ,, the, them, of, even, you, they"
