Topic,Count,Name,Representation
0,1298,0_isis_terrorist_muslims,"isis, terrorist, muslims, terrorists, arabs, syrian, refugees, arab, allah, muslim, palestinian, jihadistjoe, islamic, islam, israel, terror, holocaust, savages, iran, racist, idiots, rapists, illegals, assimilate, barbaric, jews, bomb, kill, murderers, peaceful, niggers, threaten, innocent, immigrant, africans, slaughter, jew, retard, fuck, americans, violence, invaders, invade, jewish, disgusting, hate, nigger, whatever, pigs, hating"
1,579,1_refugees_syrian_immigrant,"refugees, syrian, immigrant, wall, isis, illegals, palestinian, israel, mexican, arab, assimilate, arabs, terrorists, invaders, mexico, pigs, plan, leave, trump, keep, terrorist, ship, holocaust, next, jews, muslims, rapists, parasites, peaceful, terror, americans, illegally, kill, invade, bomb, america, faced, jewish, savages, iran, slaughter, muslim, rid, racist, threaten, build, stop, guatemala, allah, murderers"
2,534,2_omar_arab_arabs,"omar, arab, arabs, rashid, barbaric, syrian, isis, palestinian, islamic, muslims, terrorist, islam, terrorists, muslim, israel, refugees, allah, iran, pigs, jihadistjoe, slaughter, terror, shalom, disgusting, savages, scum, holocaust, culture, illegals, idiots, illegally, innocent, peaceful, americans, racist, assimilate, next, gauche, secular, whatever, retard, bagel, mexico, savage, guatemala, sick, bullshit, article, violence, watching"
3,341,3_jew_jewish_jews,"jew, jewish, jews, palestinian, israel, muslim, trump, allah, holocaust, synagogue, muslims, syrian, shalom, jihadistjoe, refugees, arabs, hitler, arab, terrorist, islamic, islam, isis, threaten, next, terrorists, hope, plan, friend, racist, retard, iran, terror, omar, will, bomb, obama, fuck, stupid, he, wall, innocent, barbaric, slaughter, kill, parasites, hey, fucking, else, christ, murderers"
4,246,4_muslims_muslim_assimilate,"muslims, muslim, assimilate, islam, refugees, islamic, allah, isis, terrorists, terrorist, jihadistjoe, peaceful, threaten, arabs, arab, terror, syrian, holocaust, palestinian, kill, secular, savages, violence, barbaric, slaughter, plan, leave, democracy, bomb, rid, rapists, racist, murderers, change, next, immigrant, die, rashid, illegals, israel, retard, idiots, jews, invade, stop, fuck, niggers, innocent, invaders, iran"
5,232,5_nigger_niggers_chinks,"nigger, niggers, chinks, niggrus, africans, blacks, racist, savages, gauche, hating, mexican, article, muslims, author, immigrant, hate, illegals, kikes, jews, rapists, americans, hitler, savage, whatever, monkey, unarmed, terrorist, communist, obama, human, arabs, brown, what, nations, terrorists, americanus, refugees, holocaust, who, murderers, parasites, isis, invaders, rid, kill, the, muslim, pigs, violence, american"
6,216,6_retard_muslim_allah,"retard, muslim, allah, terrorist, islamic, jihadistjoe, islam, muslims, dickhead, terrorists, violence, threaten, peaceful, kill, isis, bomb, barbaric, idiots, terror, hating, slaughter, arab, savages, rashid, prick, stop, hate, suicide, assault, stupid, palestinian, secular, shove, savage, unarmed, die, holocaust, re, nigger, syrian, racist, innocent, murderers, faced, killers, arabs, hitler, rapists, whatever, scum"
7,166,7_jihadistjoe_honour_slaughter,"jihadistjoe, honour, slaughter, military, muslims, isis, muslim, islam, islamic, unarmed, terrorist, allah, savages, terrorists, armed, peaceful, syrian, arabs, assault, violence, savage, arab, disgusting, barbaric, fight, murderers, invaders, refugees, secular, we, our, idiots, holocaust, kill, hate, invade, innocent, united, terror, palestinian, brethren, shit, fuck, africans, hating, iran, racist, attacks, assimilate, whatever"
8,159,8_illegals_illegally_refugees,"illegals, illegally, refugees, immigrant, terrorists, isis, invaders, kicked, obama, parasites, mexican, niggers, terrorist, assimilate, mexico, them, americans, arabs, illegal, syrian, guatemala, africans, children, their, murderers, pigs, rapists, muslims, savages, bunch, brought, ones, the, chinks, our, trash, they, violence, blacks, arab, people, these, unarmed, force, invade, nations, terror, independence, rid, idiots"
9,97,9_shalom_jew_jewish,"shalom, jew, jewish, jews, holocaust, palestinian, israel, semite, arabs, synagogue, rape, hitler, jihadistjoe, scum, arab, rapists, leave, refugees, barbaric, allah, bomb, gauche, assimilate, assault, syrian, muslim, fuck, racist, terrorist, muslims, bagel, return, next, if, blow, innocent, shoot, brought, shit, savages, god, retard, violence, son, invade, die, armed, murderers, threaten, islamic"
10,88,10_cam_coles_monkey_colder,"cam_coles, monkey, colder, immigrant, nigger, niggers, racist, refugees, mexican, don, chinks, illegals, savages, hey, faced, brown, savage, towelheads, guatemala, africans, scum, obama, whatever, somebody, know, have, send, my, blacks, shit, do, that, ppl, sick, bagel, your, americanus, unarmed, look, hitler, you, white, those, take, he, arab, stop, leave, what, prick"
11,81,11_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, invaders, resist, guatemala, fight, won, jew, invade, jewish, savages, jihadistjoe, unarmed, barbaric, jews, scum, next, towelheads, day, americans, immigrant, peaceful, threaten, force, we, fuck, declaration, assimilate, refugees, illegally, retard, hope, isis, stop, if, holocaust, leave, fucking, should, our, democracy, when, now, hey, whatever, founding, confronts"
12,77,12_holocaust_jews_jewish,"holocaust, jews, jewish, jew, hitler, hating, hate, israel, refugees, palestinian, synagogue, muslims, barbaric, wish, murderers, racist, isis, killers, vampires, suicide, terrorists, muslim, shalom, kill, syrian, anti, jihadistjoe, violence, niggers, arabs, hope, terrorist, islam, nigger, allah, slaughter, leave, blacks, iran, threaten, peaceful, savages, innocent, resist, parasites, stop, islamic, terror, everyone, babylonian"
13,71,13_signatures_jew_vampires,"signatures, jew, vampires, founding, jewish, jews, babylonian, declaration, independence, synagogue, holocaust, secular, israel, palestinian, kenite, isis, our, terrorist, democracy, invaders, terrorists, barbaric, muslims, we, serpent, muslim, brethren, christ, hitler, jihadistjoe, murderers, whatsoever, nations, allah, not, islam, terror, actually, anti, islamic, author, savages, blood, refugees, arabs, towelheads, no, religion, americans, their"
14,61,14_nigger_hitler_holocaust,"nigger, hitler, holocaust, niggers, jew, finish, jewish, racist, confronts, jews, jihadistjoe, happened, didn, allah, barbaric, assault, blacks, savage, palestinian, violence, niggrus, kill, israel, synagogue, slaughter, fight, resist, threaten, against, muslims, terrorist, gauche, muslim, shalom, islam, bomb, won, no, next, rape, then, if, street, unarmed, terror, retard, suicide, honour, savages, africans"
15,57,15_immigrant_learn_language,"immigrant, learn, language, mexican, refugees, illegals, arab, culture, racist, useless, assimilate, american, fuck, muslim, fucking, nigger, lazy, muslims, idiots, arabs, americans, stupid, illegally, leave, jew, jewish, islamic, gauche, retard, shit, prick, syrian, terrorist, savage, mexico, bitch, babylonian, allah, guatemala, niggers, africans, islam, america, whatever, useful, bomb, jihadistjoe, jews, palestinian, know"
16,56,16_nigger_kikes_niggers,"nigger, kikes, niggers, niggrus, sucking, stop, gauche, chinks, savage, savages, bitch, rapists, blow, dickhead, jew, choke, learn, bastard, racist, hitler, disgusting, shove, prick, retard, dirty, jihadistjoe, kill, blacks, keep, unacceptable, leave, pigs, get, resist, how, don, bomb, whatever, fuck, threaten, brown, he, his, kenite, fight, nasty, hating, trump, you, kicked"
17,53,17_illegals_mexican_illegally,"illegals, mexican, illegally, murderers, mexico, immigrant, kill, refugees, guatemala, illegal, whatever, terrorists, should, terrorist, assimilate, chinks, unacceptable, leave, isis, innocent, rapists, fuck, idiots, parasites, rid, invaders, stop, everyone, americans, america, killers, omar, every, niggers, the, gauche, stupid, next, peaceful, spicks, violence, terror, anti, holocaust, states, blow, trump, ones, don, savages"
