Topic,Count,Name,Representation
0,882,0_deport_illegals_deported,"deport, illegals, deported, mexicans, refugees, mexican, immigrant, racist, niggers, mexico, savages, illegally, nigger, americans, blacks, terrorists, invaders, idiots, rapists, guatemala, america, africans, trump, kill, losers, murderers, syrian, border, parasites, fuck, scum, don, invade, hate, american, killed, gauche, chinks, trash, savage, what, their, arab, them, learn, illegal, communist, fucking, losangeles, the"
1,720,1_losangeles_savages_wetbacks,"losangeles, savages, wetbacks, illegals, invaders, mexicans, refugees, savage, spicks, rapists, deported, mexican, parasites, because, where, idiots, mexico, deport, breed, wetback, illegally, terrorists, murderers, americans, why, our, niggers, losers, immigrant, the, scum, america, their, spic, blacks, them, right, racist, we, they, ltr, invade, live, towelheads, have, africans, guatemala, us, of, killed"
2,612,2_refugees_syrian_deport,"refugees, syrian, deport, immigrant, wall, illegals, mexicans, deported, mexican, arab, terrorists, border, invaders, mexico, trump, keep, ship, rapists, parasites, live, americans, kill, illegally, invade, america, faced, savages, racist, build, guatemala, murderers, scum, die, obama, africans, change, let, what, resist, losers, idiots, fuck, killed, niggers, breed, hate, the, trash, armed, learn"
3,605,3_synagogue_mexicans_illegals,"synagogue, mexicans, illegals, mexican, armed, mexico, deport, invaders, resist, guatemala, fight, won, invade, savages, scum, towelheads, day, immigrant, americans, fuck, we, refugees, losers, illegally, if, fucking, let, our, should, deported, racist, don, america, brought, kill, power, giving, know, terrorists, chinks, killed, see, idiots, but, communist, american, article, us, will, gauche"
4,337,4_wetbacks_wetback_losers,"wetbacks, wetback, losers, ltr, back, fuck, trash, send, fucking, you, sorrynotsorry, ll, let, keep, spicks, on, your, cam_coles, towelheads, we, won, kicked, shit, why, our, round, hate, brown, savages, losangeles, faced, somebody, out, against, who, sent, ones, any, name, unacceptable, savage, call, fight, useless, those, brought, go, them, don, get"
5,254,5_nigger_niggers_chinks,"nigger, niggers, chinks, niggrus, africans, blacks, racist, savages, mexicans, gauche, mexican, article, immigrant, illegals, author, hate, kikes, rapists, americans, savage, communist, monkey, obama, human, brown, nations, refugees, terrorists, what, murderers, americanus, parasites, who, deported, invaders, kill, the, american, deport, arab, them, black, losers, syrian, somebody, they, erase, guatemala, those, idiots"
6,232,6_deported_illegals_deport,"deported, illegals, deport, illegally, refugees, mexicans, terrorists, immigrant, invaders, kicked, obama, parasites, mexican, niggers, mexico, americans, them, syrian, guatemala, africans, illegal, murderers, their, losers, rapists, savages, ones, brought, the, chinks, our, trash, losangeles, blacks, they, arab, these, people, nations, invade, wetbacks, many, racist, idiots, ways, killed, armed, nigger, america, unacceptable"
7,129,7_cam_coles_monkey_colder,"cam_coles, monkey, colder, immigrant, nigger, deported, niggers, racist, mexican, refugees, don, deport, border, chinks, illegals, savages, faced, brown, savage, towelheads, mexicans, guatemala, africans, scum, obama, know, somebody, have, my, do, send, that, blacks, shit, your, americanus, you, white, those, take, arab, live, what, black, americans, american, communist, human, learn, see"
8,82,8_immigrant_learn_language,"immigrant, learn, language, mexican, deport, deported, refugees, arab, illegals, useless, racist, american, mexicans, fuck, fucking, nigger, lazy, idiots, americans, illegally, islamic, gauche, shit, syrian, savage, mexico, guatemala, africans, niggers, america, useful, losers, breed, chinks, know, work, country, border, savages, be, scum, ship, see, die, losangeles, nations, ethic, live, communist, americanus"
9,70,9_losangeles_deported_deport,"losangeles, deported, deport, illegals, mexicans, mexican, illegally, mexico, murderers, kill, immigrant, refugees, guatemala, illegal, killed, terrorists, should, unacceptable, chinks, fuck, parasites, rapists, invaders, idiots, americans, gauche, america, the, niggers, every, spicks, border, don, ones, states, trump, if, or, savages, let, die, article, where, those, ltr, fucking, many, losers, are, them"
10,58,10_arab_islamic_terrorists,"arab, islamic, terrorists, syrian, deported, refugees, savages, illegals, deport, idiots, racist, savage, illegally, americans, mexicans, immigrant, kill, scum, rapists, hate, murderers, fuck, losers, mexico, killed, mexican, fucking, faced, africans, shit, their, america, our, niggers, trump, article, have, invade, learn, nigger, invaders, gauche, blacks, illegal, with, obama, if, world, unacceptable, guatemala"
