Topic,Count,Name,Representation,Representative_Docs
-1,23,-1_you_to_into_your,"['you', 'to', 'into', 'your', 'land', 'fuck', 'or', 'were', 'in', 'for']","[""For what they did to you, or for your primitive people's inability to keep your land? Get conquered you fucking savages. Shoulda wiped you all the fuck out instead of herding you into shithole reservations to mope around being even more useless than you were before. Animal"", ""For what they did to you, or for your primitive people's inability to keep your land? Get conquered you fucking savages. Shoulda wiped you all the fuck out instead of herding you into shithole reservations to mope around being even more useless than you were before. Animal"", ""For what they did to you, or for your primitive people's inability to keep your land? Get conquered you fucking savages. Shoulda wiped you all the fuck out instead of herding you into shithole reservations to mope around being even more useless than you were before. Animal""]"
0,135,0_and_white_you_the,"['and', 'white', 'you', 'the', 'of', 'fuck', 'people', 'are', 'to', 'that']","[""I'm all for equality. So fuck black people. And fuck hispanic people. And fuck muslims too. And asians. And indians. And jews for that matter, fuck them. And fuck this fat fuck in particular."", ""I don't like usa too. They like to think black people are their slaves. I hate all the people who thinks their skin is rich.  I'm not dumb. What did you do when you were 13 other than sucking your daddy's nipple thinking that it's mommy's? Nothing. You're a gamer. Gamers are probably jobless uneducated guys they couldn't even take care of themselves, they depend on their parents even for water. youre full of your parents shit. You're very lucky you're far away from me. Otherwise I would have kicked your useless balls and killed you by now for abusing me."", 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.']"
1,50,1_country_all_out_send,"['country', 'all', 'out', 'send', 'them', 'of', 'in', 'be', 'the', 'illegally']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
2,47,2_indians_indian_are_the,"['indians', 'indian', 'are', 'the', 'to', 'fuck', 'be', 'you', 'from', 'ass']","[""The Gay Indian Sodomite Varadkar has zero loyalty to the Irish people and should be deported back to India..... How the Fuck is there no push back from the opposition?? Its time to stop the talking and start taking action because the pathetic spineless traitor Government are laughing at us and how easy it is to destroy Ireland... The people need to start speaking up and waking up fast because where running out of time... I'll be at every protest that's on..... 🇮🇪 🇮🇪"", ""That would mean that we wouldn't be held accountable for paying them off with a bunch of money. Any emotions you're seeing from the Indians are crocodile tears, hoping that it will increase the monetary pay out. It's the ONLY thing care about. They don't give a flying FUCK about the dead women."", ""That would mean that we wouldn't be held accountable for paying them off with a bunch of money. Any emotions you're seeing from the Indians are crocodile tears, hoping that it will increase the monetary pay out. It's the ONLY thing care about. They don't give a flying FUCK about the dead women.""]"
3,36,3_to_and_are_the,"['to', 'and', 'are', 'the', 'your', 'you', 'of', 'it', 'is', 'get']","['If white man so bad, maybe they can go back to living in teepees and not bothering with the white man\'s electricity, never mind his guns and steel traps. Oh, and no going to the grocery store, either, if you want to feel the ""need"" to kill wild animals for food, rather than just eating domestic livestock like a civilized human. Greedy fucks. Not everything needs to go down filthy human gullets.', ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth""]"
4,31,4_niggers_hate_even_the,"['niggers', 'hate', 'even', 'the', 'them', 'nigger', 'lowest', 'lazy', 'towelheads', 'morals']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
5,20,5_fucking_language_learn_useless,"['fucking', 'language', 'learn', 'useless', 'immigrant', 'fuckin', 'toilet', 'you', 'the', 'your']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
6,16,6_jew_are_hitler_not,"['jew', 'are', 'hitler', 'not', 'jews', 'the', 'confronts', 'holocaust', 'finish', 'our']","['There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.', 'There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.', 'There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.']"
7,16,7_know_somebody_monkey_faced,"['know', 'somebody', 'monkey', 'faced', 'colder', 'camcoles', 'name', 'immigrant', 'you', 'dont']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
8,11,8_to_these_their_for,"['to', 'these', 'their', 'for', 'am', 'back', 'we', 'fight', 'and', 'suit']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
