Topic,Count,Name,Representation
0,699,0_cam_coles_monkey_colder,"cam_coles, monkey, colder, immigrant, immigrants, deported, niggers, mexican, refugees, don, deport, chong, border, illegals, savages, faced, ching, savage, guatemala, scum, obama, somebody, know, have, my, asian, do, send, that, shit, sick, ppl, your, look, you, white, those, take, arab, stop, come, leave, live, prick, what, black, americans, american, communist, human"
1,539,1_deported_illegals_deport,"deported, illegals, deport, immigrants, illegally, refugees, terrorists, immigrant, invaders, kicked, obama, parasites, mexican, niggers, mexico, assimilate, them, americans, syrian, guatemala, illegal, their, children, pigs, murderers, losers, muslims, rapists, bunch, savages, brought, ones, the, our, trash, violence, losangeles, they, arab, force, people, these, nations, terror, invade, rid, wetbacks, many, idiots, jews"
2,533,2_refugees_syrian_immigrants,"refugees, syrian, immigrants, deport, immigrant, wall, illegals, deported, mexican, arab, assimilate, terrorists, border, invaders, mexico, pigs, plan, leave, trump, keep, ship, jews, muslims, rapists, parasites, live, terror, americans, kill, illegally, invade, america, faced, land, savages, muslim, rid, build, threaten, stop, guatemala, murderers, barbaric, scum, die, rape, obama, change, let, prepared"
3,465,3_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, deport, invaders, resist, guatemala, fight, won, invade, immigrants, savages, barbaric, jews, scum, day, americans, immigrant, threaten, force, we, fuck, assimilate, losers, refugees, illegally, stop, if, hope, give, let, leave, fucking, should, our, when, democracy, now, ching, deported, don, omar, america, brought, kill, power, giving, know"
4,369,4_immigrant_immigrants_learn,"immigrant, immigrants, learn, language, mexican, deport, deported, refugees, arab, illegals, culture, useless, assimilate, american, muslim, fuck, fucking, muslims, idiots, americans, stupid, leave, illegally, islamic, idiot, shit, asian, prick, syrian, savage, bitch, mexico, guatemala, niggers, chinatown, america, useful, ching, losers, breed, jews, omar, know, work, savages, country, chong, border, be, scum"
5,311,5_losangeles_savages_wetbacks,"losangeles, savages, wetbacks, illegals, invaders, refugees, savage, rapists, immigrants, pigs, deported, mexican, parasites, because, idiots, where, mexico, land, innocent, deport, breed, wetback, illegally, terrorists, murderers, americans, why, our, niggers, losers, disgusting, immigrant, assimilate, scum, the, spic, their, america, east, right, them, barbaric, stupid, we, they, ltr, invade, live, have, bunch"
6,283,6_omar_arab_rashid,"omar, arab, rashid, barbaric, syrian, islamic, muslims, terrorists, muslim, deported, refugees, pigs, terror, disgusting, savages, scum, deport, culture, illegals, idiots, illegally, innocent, americans, assimilate, immigrants, chong, secular, mexico, savage, guatemala, sick, violence, watching, leave, rapists, have, america, shit, their, fuck, middle, wall, losers, jews, kill, immigrant, bulldozed, right, stop, unacceptable"
7,243,7_illegals_immigrants_deport,"illegals, immigrants, deport, deported, refugees, immigrant, mexican, invaders, illegally, mexico, assimilate, border, terrorists, americans, guatemala, invade, savages, niggers, america, ship, them, losangeles, rapists, parasites, illegal, leave, idiots, our, murderers, pigs, syrian, their, losers, muslims, states, plan, kill, threaten, they, american, fuck, wall, rid, children, armed, terror, brought, jews, nations, we"
8,202,8_losangeles_deported_deport,"losangeles, deported, deport, illegals, gook, mexican, immigrants, murderers, kill, illegally, mexico, immigrant, guatemala, killed, refugees, terrorists, illegal, should, parasites, assimilate, leave, unacceptable, innocent, stop, rid, fuck, idiots, rapists, invaders, everyone, chinatown, omar, every, americans, america, stupid, niggers, the, terror, violence, chong, or, ones, die, if, don, border, trump, disgusting, those"
9,183,9_chinatown_deported_losangeles,"chinatown, deported, losangeles, deport, illegals, mexican, immigrants, slant, illegally, bulldozed, immigrant, mexico, unacceptable, scum, chong, refugees, illegal, assimilate, should, guatemala, border, fuck, leave, asian, middle, east, communist, omar, must, the, niggers, states, where, terrorists, ching, rid, idiots, disgusting, rapists, kicked, losers, america, innocent, don, culture, faced, fucking, else, are, americans"
10,145,10_refugees_syrian_immigrants,"refugees, syrian, immigrants, terrorists, deport, savages, deported, invaders, illegals, assimilate, nations, muslims, invade, terror, countries, niggers, arab, immigrant, murderers, america, barbaric, americans, mexico, rapists, kill, parasites, threaten, guatemala, idiots, savage, jews, illegally, country, losers, pigs, violence, them, leave, culture, muslim, fuck, shithole, democracy, islamic, disgusting, they, killed, land, mexican, their"
11,133,11_deported_deport_america,"deported, deport, america, immigrants, shithole, refugees, immigrant, country, americans, american, illegals, countries, bitch, syrian, fuck, assimilate, idiots, leave, idiot, trump, culture, savages, illegally, mexican, losers, prick, nations, learn, shit, arab, mexico, rapists, us, stop, niggers, pigs, scum, guatemala, border, savage, states, invade, disgusting, barbaric, fucking, stupid, world, muslims, what, ppl"
12,117,12_wetbacks_wetback_losers,"wetbacks, wetback, losers, ltr, fuck, back, trash, put, send, fucking, you, sorrynotsorry, ll, let, leave, bitch, keep, one, me, ppl, came, on, cam_coles, your, disgusting, we, won, bunch, kicked, prick, shit, why, everyone, our, hate, rid, rashid, round, nasty, idiot, losangeles, savages, faced, somebody, out, against, who, sent, ones, sick"
