Topic,Count,Name,Representation
0,737,0_splashed_hate_bitch,"splashed, hate, bitch, bitches, woman, kill, women, raped, feminist, cunt, herself, her, rape, she, cunts, slap, pathetic, retarded, god, stupid, pussy, die, cry, me, whore, pregnant, whimper, wife, leave, disgusting, mother, especially, deserve, spit, racist, cause, ugly, day, hoes, shoots, stop, because, lol, mom, lmao, wet, know, watch, why, tits"
1,544,1_nigger_niggas_nigga,"nigger, niggas, nigga, bitch, fuckin, cheating, lick, fuck, faggot, whore, stupid, pussy, lil, shove, cunt, cock, stay, die, ain, bitches, deserve, dumbass, retarded, dick, shit, idiot, cunts, leave, suck, care, yo, wanna, rape, baby, stop, im, ur, cum, daddy, sex, your, kill, pathetic, cocks, fucking, raped, lmao, fucked, asshole, dumb"
2,337,2_bull_cock_bitch,"bull, cock, bitch, whimper, pussy, wanna, cum, raping, cocks, bitches, squeal, breed, raped, whore, wish, boi, tits, choke, sucking, want, rape, suck, hole, cry, lick, breeding, shut, wants, such, big, dick, lmao, dog, stop, holes, enough, nigga, yo, ain, come, much, sex, piss, needs, more, fuckin, spit, dont, for, you"
3,279,3_whore_feminist_zionist,"whore, feminist, zionist, woman, feminists, paedophile, cunt, whores, failure, herself, raped, rape, cunts, her, bitch, wife, female, slut, pussy, racist, mother, devil, women, globalist, nigger, retarded, term, faggot, she, slutty, pathetic, females, pregnant, idiot, trump, person, daddy, asshole, american, hate, someone, dick, human, sex, girl, bitches, hole, deserve, having, handicapped"
4,276,4_bitch_bitches_her,"bitch, bitches, her, whore, she, pussy, lmao, send, herself, girl, deserve, pathetic, wanna, next, girls, your, lil, fuckin, ll, ur, im, trash, don, fuck, lol, ugly, suck, shut, female, my, ass, faggot, nigga, idiot, who, baby, put, fucking, cunt, yo, one, mad, feminist, you, did, hate, let, come, why, at"
5,274,5_handicapped_sixes_scalp,"handicapped, sixes, scalp, crippled, ayo, bitches, triple, head, hair, bitch, legs, yo, babies, lil, fuckin, breed, kill, retarded, body, two, see, paedophile, fuck, look, slap, stupid, dumbass, brain, girls, thing, dumb, human, idiot, hoes, you, lmao, ugly, children, right, those, me, ain, hot, even, hate, im, niggas, ya, racist, dog"
6,238,6_shut_bitch_black,"shut, bitch, black, dumbass, racist, cunt, dumb, nigga, niggas, cunts, nigger, stop, cry, pathetic, fuckin, white, fuck, stupid, bitches, mad, wanna, idiot, lmao, retarded, don, hate, leave, your, dont, im, stay, say, suck, deserve, slap, baby, bull, see, faggot, shit, talk, keep, tell, put, yo, kill, piss, no, again, you"
7,193,7_niggas_nigga_nigger,"niggas, nigga, nigger, bitches, bitch, lil, whore, ain, pussy, raping, whores, cunts, lmao, cunt, yo, girls, fuckin, deserve, wanna, faggot, tits, pathetic, raped, slut, her, retarded, slap, care, she, lol, trash, rape, ass, ugly, herself, slutty, cocks, sluts, your, suck, fuck, girl, hell, like, shit, im, their, gets, racist, chong"
8,187,8_cum_slutty_slut,"cum, slutty, slut, sluts, cock, whore, pussy, lick, cocks, wanna, sucking, nasty, dirty, sex, tits, whores, bitch, raping, ass, filthy, dick, piss, fuckin, hole, nigga, baby, daddy, fill, raped, niggas, spit, disgusting, deep, bitches, rape, needs, load, fuck, hot, mouth, girl, holes, guys, filled, you, suck, gonna, wants, ain, girls"
9,179,9_hoe_hoes_bitches,"hoe, hoes, bitches, bitch, yo, home, whore, fuckin, slut, pathetic, cunts, nigga, lmao, dumb, dumbass, niggas, shut, im, stupid, talk, wanna, kill, slap, mad, boi, lol, fuck, lil, cunt, care, sluts, girls, ain, whores, life, she, ur, faggot, don, raping, your, idiot, ass, shit, clean, know, their, leave, you, dont"
