Topic,Count,Name,Representation
0,115,0_christians_religion_christian,"christians, religion, christian, bible, christ, kill, hate, jesus, fuck, god, fucking, what, their, them, do, they, just, be, if, re, have, shit, people, those, to, that, there, should, our, keep, me, we, the, for, go, your, with, my, but, are, being, then, this, all, who, you, about, it, by, want"
1,99,1_christians_christian_christ,"christians, christian, christ, religion, jesus, bible, god, hate, just, them, what, me, have, they, but, fuck, their, those, that, are, if, kill, who, white, people, fucking, re, and, because, do, not, the, about, our, he, with, being, will, to, be, keep, we, then, url, all, shit, no, my, is, you"
2,92,2_christians_christian_christ,"christians, christian, christ, jesus, religion, god, bible, fuck, what, fucking, he, hate, just, that, them, they, but, me, who, those, it, if, their, have, should, to, because, shit, kill, about, so, be, of, not, there, and, then, my, this, or, do, with, for, would, you, like, we, no, your, being"
3,73,3_christians_christian_religion,"christians, christian, religion, god, christ, jesus, hate, bible, kill, just, what, fuck, me, them, to, that, their, will, have, be, do, if, go, those, they, fucking, should, about, it, with, because, but, shit, and, re, your, being, there, you, like, my, then, who, the, not, all, he, keep, for, our"
4,69,4_christians_christian_hate,"christians, christian, hate, christ, jesus, kill, religion, god, what, fuck, have, just, with, me, white, our, fucking, country, the, who, shit, re, that, we, are, their, be, but, do, if, them, to, bible, by, will, those, they, not, is, about, keep, of, my, and, you, people, your, out, like, because"
5,64,5_christians_christian_kill,"christians, christian, kill, religion, jesus, christ, god, hate, fuck, that, bible, shit, fucking, with, our, we, will, then, if, their, just, they, should, about, be, or, them, to, those, have, what, but, not, the, who, by, re, keep, do, for, and, are, so, my, in, your, no, he, there, you"
6,57,6_christians_christian_jesus,"christians, christian, jesus, christ, god, bible, religion, kill, if, just, hate, fuck, you, me, have, what, that, he, be, my, will, your, fucking, about, then, to, keep, but, who, shit, go, would, their, on, those, re, do, not, with, there, this, and, them, or, they, for, so, url, should, by"
7,47,7_christians_christian_jesus,"christians, christian, jesus, bible, religion, christ, god, be, that, those, if, them, what, hate, but, they, just, then, their, and, have, are, fuck, re, fucking, who, shit, me, about, because, kill, he, you, your, so, like, being, these, of, not, do, there, all, my, or, for, go, keep, on, will"
8,45,8_christians_christ_religion,"christians, christ, religion, christian, bible, god, jesus, kill, fuck, that, hate, those, their, they, fucking, them, there, shit, what, or, so, me, then, being, people, this, re, have, for, do, to, but, we, just, our, would, about, these, on, and, be, with, because, like, if, you, not, it, should, of"
9,39,9_christian_christians_jesus,"christian, christians, jesus, christ, bible, fuck, god, who, fucking, shit, keep, religion, my, your, will, me, what, hate, you, have, he, our, their, should, there, in, kill, just, on, get, to, this, with, do, if, we, that, be, all, them, they, would, of, it, no, about, any, the, but, go"
10,39,10_christians_christian_religion,"christians, christian, religion, jesus, bible, fuck, god, kill, christ, hate, fucking, shit, that, if, with, keep, just, be, go, but, do, me, what, he, their, them, to, for, re, those, because, like, who, they, should, it, have, will, my, no, not, we, and, your, our, this, about, you, by, people"
11,37,11_christians_jesus_fuck,"christians, jesus, fuck, god, christian, kill, christ, shit, fucking, we, hate, will, religion, bible, if, their, they, what, not, our, who, that, he, them, but, then, should, with, keep, so, re, no, it, are, just, me, and, you, this, there, be, have, is, all, to, about, because, go, your, would"
12,29,12_christians_our_we,"christians, our, we, bible, christian, christ, not, jesus, no, religion, their, re, fuck, they, fucking, are, shit, as, these, but, do, them, so, then, he, those, god, because, that, out, keep, kill, just, on, there, people, by, be, and, who, if, of, would, should, my, is, up, all, go, your"
13,20,13_keep_kill_what,"keep, kill, what, fuck, hate, the, jesus, fucking, should, our, who, will, christians, people, we, or, this, out, with, shit, christ, that, and, country, get, you, just, to, for, those, like, so, of, want, but, re, he, have, not, god, go, back, do, on, their, them, christian, these, if, my"
14,17,14_kill_fuck_those,"kill, fuck, those, me, hate, that, you, your, jesus, what, do, if, like, with, people, fucking, shit, my, them, god, are, he, would, who, have, and, back, just, all, they, or, these, on, for, the, this, is, religion, there, but, christ, their, not, want, white, out, go, being, we, it"
