Topic,Count,Name,Representation,Representative_Docs
-1,704,-1_nigga_ass_your_are,"['nigga', 'ass', 'your', 'are', 'shit', 'pussy', 'niggas', 'white', 'he', 'fucking']","['YALL DO NOT LET THESE BITCH ASS NIGGAS MAKE U FEEL LIKE SHIT CAUSE THEY AINT SHIT 💀💀💀💀', ""I'll get my revenge when I fuck on your nigga , I'll take that shit back ,  I won't fuck on your nigga , I'll fuck on his face, right in your place."", 'Omg. Your tough because you call someone a ""pussy ass nigga!""  Again. Another reason why the African (American) ideal is fucked as well. Too concerned about being in other folks business and not worrying about yourself. Always shooting to kill first, instead of not knowing how to fucking communicate like a human being. (Maybe you\'re not? I don\'t fucking know 🤷🏾\u200d♂️) You DEFINITELY cannot speak on any person\'s intelligence. Ever.']"
0,799,0_legionary1488_ebloa_jomavaesjos_texas,"['legionary1488', 'ebloa', 'jomavaesjos', 'texas', 'case', 'safe', 'might', 'kill', 'now', 'we']","['@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.', '@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.', '@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.']"
1,799,1_hate_even_niggers_towelheads,"['hate', 'even', 'niggers', 'towelheads', 'erase', 'morals', 'gauche', 'niggrus', 'americanus', 'author']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
2,780,2_whitepowerill_hang_nigger_you,"['whitepowerill', 'hang', 'nigger', 'you', 'stores', 'shoplifts', 'samples', 'blm', 'mama', 'folks']","[""#whitepower...I'll hang you nigger"", ""#whitepower...I'll hang you nigger"", ""#whitepower...I'll hang you nigger""]"
3,765,3_26_reward_iamkrause_pal,"['26', 'reward', 'iamkrause', 'pal', 'graduation', 'dis', 'thank', 'killing', 'own', 'when']","['""@iamkrause: No need to thank me, killing niggers is it\'s own reward.""  Dis my pal from our graduation when we was 26', '""@iamkrause: No need to thank me, killing niggers is it\'s own reward.""  Dis my pal from our graduation when we was 26', '""@iamkrause: No need to thank me, killing niggers is it\'s own reward.""  Dis my pal from our graduation when we was 26']"
4,691,4_finish_confronts_hitler_street,"['finish', 'confronts', 'hitler', 'street', 'jew', 'didnt', 'then', 'what', 'ur', 'it']","[""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.""]"
5,659,5_stupid_cheating_lick_bitch,"['stupid', 'cheating', 'lick', 'bitch', 'go', 'fuck', 'dick', 'die', 'ur', 'you']","['Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch', 'Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch', 'Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch']"
6,652,6_geez_surely_northkorea_acts,"['geez', 'surely', 'northkorea', 'acts', 'barackobama', 'may', 'think', 'right', 'one', 'monkey']","['GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""', 'GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""', 'GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""']"
7,433,7_am_these_back_to,"['am', 'these', 'back', 'to', 'their', 'resist', 'synagogue', 'mexicoguatemala', 'unacceptable', 'whitemexicanblack']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
8,398,8_haircuts_typical_looks_retarded,"['haircuts', 'typical', 'looks', 'retarded', 'with', 'like', 'their', 'nigger', 'nice', 'taste']","['Looks like a nigger with their typical retarded haircuts', 'Looks like a nigger with their typical retarded haircuts', 'Looks like a nigger with their typical retarded haircuts']"
