Topic,Count,Name,Representation,Representative_Docs
-1,359,-1_are_you_with_in,"['are', 'you', 'with', 'in', 'your', 'from', 'go', 'they', 'the', 'to']","[""Man these fucks at CNN make us fucking sick... !!! We are in full support of throwing the garbage ( illegal aliens ) right out the fucking door.. !!!! CNN is absolutely right family's need to stay together.. so they need to get the fuck out and take your bastard welfare kids right with you.. !!! you ever notice everywhere these nasty fucks hang out or live it looks like a garbage dump or landfill site... ?? Just take a look at where they live in mexico.. !! These nasty fucks have turned that place into a trash dump site... !!!"", 'What a bunch of bull. How much money is spent on this crap? Send back to where they came from. These people come here illegally with nothing. They are not imunized therefore bringing in TB, scabbies who knows what. How many are gang members? I bet MS13 is recruiting as I type this. All being paid for by our hard earned tax dollars. What about the homeless American?', 'What a bunch of bull. How much money is spent on this crap? Send back to where they came from. These people come here illegally with nothing. They are not imunized therefore bringing in TB, scabbies who knows what. How many are gang members? I bet MS13 is recruiting as I type this. All being paid for by our hard earned tax dollars. What about the homeless American?']"
0,713,0_halfbreed_none_savages_wetback,"['halfbreed', 'none', 'savages', 'wetback', 'filthy', 'spic', 'many', 'live', 'any', 'right']","['Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.']"
1,603,1_their_to_for_am,"['their', 'to', 'for', 'am', 'these', 'back', 'we', 'that', 'is', 'they']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
2,537,2_out_the_fucking_keep,"['out', 'the', 'fucking', 'keep', 'of', 'and', 'arab', 'syrian', 'parasites', 'islamic']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
3,315,3_l1ltr4p_wetbacks_sorrynotsorry_losers,"['l1ltr4p', 'wetbacks', 'sorrynotsorry', 'losers', 'fucking', 'her', 'seem', 'reading', 'post', 'cum']","['@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry']"
4,222,4_niggers_hate_even_nigger,"['niggers', 'hate', 'even', 'nigger', 'erase', 'africans', 'niggrus', 'americanus', 'article', 'author']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
5,191,5_obama_taken_kicked_brought,"['obama', 'taken', 'kicked', 'brought', 'country', 'trash', 'own', 'there', 'send', 'all']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
6,129,6_name_monkey_faced_colder,"['name', 'monkey', 'faced', 'colder', 'camcoles', 'somebody', 'know', 'you', 'immigrant', 'what']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
7,74,7_language_useless_learn_immigrant,"['language', 'useless', 'learn', 'immigrant', 'fucking', 'you', 'the', '', '', '']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
8,58,8_deport_into_usa_with,"['deport', 'into', 'usa', 'with', 'they', 'mexicans', 'home', 'rest', 'anybody', 'juan']","['Deport them All.', 'DEPORT THEM ALL!', 'DEPORT THEM ALL!']"
