Topic,Count,Name,Representation
0,185,0_faggot_fag_cuck,"faggot, fag, cuck, cunt, gay, nigga, bitch, niggas, fuck, ass, stop, cry, bitches, incel, what, pussy, he, stupid, lol, hate, don, his, my, dumb, dick, shit, fucking, guy, your, him, me, ur, why, cock, suck, disgusting, that, do, cum, feel, know, gonna, those, you, trash, bull, if, guys, re, who"
1,184,1_cuck_cock_cum,"cuck, cock, cum, pussy, cunt, bitch, dick, nigga, bitches, disgusting, niggas, ass, raping, lol, fuck, rape, your, incel, gonna, faggot, suck, you, my, ur, stop, hole, don, guys, that, would, fag, if, ain, get, she, squeal, cry, gay, fucking, more, her, only, load, women, guy, kill, why, wish, with, woman"
2,159,2_niggas_nigga_bitch,"niggas, nigga, bitch, bitches, cuck, ain, pussy, cunt, raping, faggot, ass, he, his, him, fag, incel, shit, lol, your, trash, fuck, rape, my, don, gonna, like, she, ugly, cock, ur, her, gay, cum, their, what, suck, why, dick, guys, fucking, do, some, cry, stupid, kill, take, hate, stop, if, those"
3,157,3_rape_cuck_bitches,"rape, cuck, bitches, faggot, kill, men, lol, white, cunt, incel, raping, niggas, bitch, women, hate, fuck, pussy, what, fucking, dumb, me, their, them, disgusting, with, stupid, if, cry, only, trash, don, that, those, the, because, stop, some, they, have, but, most, who, shit, children, guys, nigga, why, breed, for, just"
4,123,4_bitch_cuck_faggot,"bitch, cuck, faggot, bitches, cunt, her, your, she, my, pussy, don, you, lol, fuck, incel, ll, ass, ur, disgusting, trash, me, his, him, fag, what, who, put, why, nigga, fucking, stop, shit, he, suck, one, their, ugly, guy, dick, niggas, at, gay, ain, hate, get, will, stupid, with, keep, wish"
5,117,5_bitch_pussy_bitches,"bitch, pussy, bitches, cunt, fuck, nigga, cuck, niggas, cry, faggot, she, stupid, ass, dumb, shit, cock, suck, fag, stop, dick, fucking, her, lol, ain, guys, don, guy, your, rape, gonna, gay, woman, get, hole, ur, cum, kill, raping, women, ugly, incel, hate, you, bull, my, know, if, like, what, look"
6,116,6_cock_bull_bitch,"cock, bull, bitch, pussy, whimper, cum, raping, bitches, squeal, breed, wish, boi, rape, want, hole, suck, cry, dick, stop, nigga, ain, more, you, wanted, for, have, will, gonna, get, that, niggas, incel, fuck, your, all, huge, don, cuck, ass, keep, lol, make, do, cunt, load, disgusting, know, if, my, ve"
7,91,7_her_cuck_she,"her, cuck, she, pussy, bitches, bitch, cunt, rape, incel, woman, raping, faggot, ugly, niggas, women, what, disgusting, ass, hate, trash, fuck, with, nigga, why, kill, fucking, me, dick, fag, hope, gay, his, lol, them, like, stop, stupid, because, who, guys, him, my, if, those, would, don, careful, some, your, hole"
8,85,8_dick_suck_bitch,"dick, suck, bitch, cock, cum, bitches, nigga, pussy, cry, ass, niggas, fuck, don, stop, disgusting, ain, ur, cuck, gonna, shit, faggot, kill, gay, your, cunt, take, do, die, get, my, guy, if, raping, guys, squeal, will, lol, you, load, bull, incel, how, hole, that, fucking, look, like, keep, stupid, go"
9,71,9_women_men_pussy,"women, men, pussy, rape, woman, bitches, guys, incel, cuck, her, bitch, she, their, cock, breed, dick, disgusting, gay, lol, cunt, most, guy, some, they, man, fuck, them, dumb, kill, raping, his, faggot, fucking, should, being, what, why, me, ass, stupid, only, people, you, who, the, we, re, your, children, to"
