Topic,Count,Name,Representation
0,764,0_shalom_jew_jewish,"shalom, jew, jewish, jews, zionist, holocaust, palestinian, israel, semite, synagogue, rape, hitler, scum, leave, gauche, muslim, fuck, bagel, return, if, next, shoot, shit, god, son, invade, die, armed, bitch, fucking, kill, came, whore, blacks, invaders, blood, family, babylonian, prick, fatass, will, choke, christ, stop, africans, towelheads, resist, savage, get, dirty"
1,720,1_holocaust_jews_jewish,"holocaust, jews, jewish, jew, zionist, hitler, hate, israel, synagogue, palestinian, wish, killers, niggerloving, vampires, shalom, muslim, anti, kill, hope, niggers, nigger, leave, blacks, resist, stop, babylonian, rape, die, world, fuck, there, they, article, christ, towelheads, africans, must, don, against, didn, actually, invaders, illegals, their, globalist, even, change, here, what, you"
2,713,2_signatures_jew_vampires,"signatures, jew, vampires, jewish, founding, jews, babylonian, declaration, zionist, independence, synagogue, holocaust, israel, palestinian, kenite, our, invaders, we, muslim, serpent, brethren, hitler, christ, nations, not, actually, anti, author, blood, towelheads, no, devil, americans, their, shalom, globalist, niggers, re, son, fuck, killers, they, fucking, are, die, communist, yeah, subversive, shit, clue"
3,575,3_nigger_hitler_niggerloving,"nigger, hitler, niggerloving, holocaust, niggers, jew, finish, jewish, confronts, jews, zionist, happened, didn, blacks, palestinian, savage, niggrus, kill, israel, fight, synagogue, against, resist, muslim, gauche, won, no, shalom, next, rape, street, then, if, africans, erase, only, stop, cunt, can, globalist, god, shit, invade, failure, die, communist, black, must, vampires, bitch"
4,278,4_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, invaders, resist, guatemala, fight, won, jew, invade, jewish, jews, scum, towelheads, next, day, americans, we, fuck, declaration, if, stop, zionist, hope, holocaust, leave, fucking, should, our, founding, confronts, don, wish, kill, israel, power, giving, finish, independence, know, anti, but, chinks, shalom, american, communist, us, article"
5,206,5_kike_niggerloving_kikes,"kike, niggerloving, kikes, nigger, niggers, niggrus, sucking, stop, gauche, chinks, fatass, cunt, savage, whore, bitch, choke, dick, bastard, jew, unacceptable, get, kill, hitler, kenite, leave, paedophile, resist, prick, dirty, he, blacks, fight, don, you, fuck, re, son, trump, making, to, die, no, real, against, fucking, that, who, your, shit, rape"
6,203,6_jew_jewish_jews,"jew, jewish, jews, palestinian, zionist, israel, muslim, trump, holocaust, synagogue, shalom, hitler, next, hope, friend, will, fuck, he, kill, fucking, globalist, invade, shit, christ, babylonian, god, shoot, another, dick, president, fatass, wish, has, africans, invaders, if, bagel, niggerloving, die, americans, world, we, killers, leave, cunt, what, stop, nigger, idiots, gauche"
7,197,7_zionist_israel_jews,"zionist, israel, jews, palestinian, jewish, jew, holocaust, muslim, hitler, synagogue, globalist, shalom, babylonian, fuck, nations, idiots, invaders, hate, invade, kill, americans, africans, illegals, niggers, killers, article, fucking, blacks, next, scum, anti, leave, niggerloving, trump, nigger, their, stop, shit, god, christ, vampires, communist, savage, they, rape, resist, die, cunt, who, fatass"
8,99,8_whore_zionist_woman,"whore, zionist, woman, paedophile, cunt, failure, rape, palestinian, her, bitch, hitler, muslim, jew, devil, niggerloving, globalist, nigger, term, jewish, scum, holocaust, communist, israel, jews, blacks, idiots, africans, trump, niggers, fathers, american, hate, author, dick, human, morals, americans, subversive, christ, savage, ethic, fatass, niggrus, what, happened, being, had, unacceptable, babylonian, article"
9,70,9_muslim_holocaust_jews,"muslim, holocaust, jews, jewish, synagogue, zionist, jew, morals, god, israel, christ, kill, babylonian, palestinian, globalist, devil, die, hitler, brethren, killers, hate, paedophile, idiots, niggers, niggerloving, serpent, fuck, stop, world, vampires, rape, shalom, resist, erase, scum, africans, don, fucking, next, leave, subversive, just, fight, unacceptable, their, be, that, they, them, change"
10,66,10_holocaust_jews_jew,"holocaust, jews, jew, jewish, hitler, zionist, kill, israel, palestinian, killers, muslim, synagogue, die, anti, vampires, globalist, invaders, niggerloving, niggers, shalom, africans, invade, blacks, babylonian, nigger, hate, armed, resist, leave, stop, rape, fight, communist, illegals, towelheads, next, idiots, don, against, erase, fuck, who, shoot, that, didn, god, fucking, morals, christ, if"
