Topic,Count,Name,Representation,Representative_Docs
-1,296,-1_white_you_the_of,"['white', 'you', 'the', 'of', 'your', 'in', 'and', 'are', 'women', 'with']","['@Money Route what u whtte rat not scared? lol u typical deluded drug addict gay wedding product puxxy, 5foot 6? lol thats u fccking whte rats, chinese average is 179cm, the one of tallest in entire world, thats why yao ming is tallest NBA players, while u merican rats especially whte rats are all born dwarfs, and u maericans are most useless pxxys everybody in world beat shat out of u in war, even somalian pirates with no guns, and come to china, face to face, i can beat sht out of u with my one hand', '@Money Route what u whtte rat not scared? lol u typical deluded drug addict gay wedding product puxxy, 5foot 6? lol thats u fccking whte rats, chinese average is 179cm, the one of tallest in entire world, thats why yao ming is tallest NBA players, while u merican rats especially whte rats are all born dwarfs, and u maericans are most useless pxxys everybody in world beat shat out of u in war, even somalian pirates with no guns, and come to china, face to face, i can beat sht out of u with my one hand', '@Money Route what u whtte rat not scared? lol u typical deluded drug addict gay wedding product puxxy, 5foot 6? lol thats u fccking whte rats, chinese average is 179cm, the one of tallest in entire world, thats why yao ming is tallest NBA players, while u merican rats especially whte rats are all born dwarfs, and u maericans are most useless pxxys everybody in world beat shat out of u in war, even somalian pirates with no guns, and come to china, face to face, i can beat sht out of u with my one hand']"
0,297,0_these_to_their_am,"['these', 'to', 'their', 'am', 'for', 'back', 'we', 'won', 'suit', 'mexicoguatemala']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
1,70,1_realdonaldtrump_of_nationalist_shit,"['realdonaldtrump', 'of', 'nationalist', 'shit', 'white', 'youre', 'you', 'with', 'finger', 'racist']","['A hate crime.  20 dead. 26 injured.  Some critical.  A fucking sick redneck child spewing hate on behalf of his race. Why, you ask? Why did he feel so emboldened? Why have hate crimes EXPONENTIALLY since @realDonaldTrump was elected?  ENOUGH.  VOTE THIS TRASH OUT.', 'A hate crime.  20 dead. 26 injured.  Some critical.  A fucking sick redneck child spewing hate on behalf of his race. Why, you ask? Why did he feel so emboldened? Why have hate crimes EXPONENTIALLY since @realDonaldTrump was elected?  ENOUGH.  VOTE THIS TRASH OUT.', 'A hate crime.  20 dead. 26 injured.  Some critical.  A fucking sick redneck child spewing hate on behalf of his race. Why, you ask? Why did he feel so emboldened? Why have hate crimes EXPONENTIALLY since @realDonaldTrump was elected?  ENOUGH.  VOTE THIS TRASH OUT.']"
2,62,2_confronts_finish_street_hitler,"['confronts', 'finish', 'street', 'hitler', 'didnt', 'ur', 'then', 'nigger', 'jew', 'can']","[""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.""]"
3,59,3_niggers_hate_even_chinks,"['niggers', 'hate', 'even', 'chinks', 'niggrus', 'article', 'author', 'gauche', 'towelheads', 'erase']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
4,50,4_supremacist_his_supremacists_he,"['supremacist', 'his', 'supremacists', 'he', 'white', 'who', 'thinks', 'piece', 'by', 'url']","[""Typical white supremacist who thinks he can disavow himself of his bigotry by claiming to have screwed Black women. As if who he sticks his shriveled nub in has anything to do with whether or not he's a racist jack ass."", ""Typical white supremacist who thinks he can disavow himself of his bigotry by claiming to have screwed Black women. As if who he sticks his shriveled nub in has anything to do with whether or not he's a racist jack ass."", ""Typical white supremacist who thinks he can disavow himself of his bigotry by claiming to have screwed Black women. As if who he sticks his shriveled nub in has anything to do with whether or not he's a racist jack ass.""]"
5,49,5_kike_niggerloving_fatass_dick,"['kike', 'niggerloving', 'fatass', 'dick', 'sucking', 'stop', 'that', 'you', 'jews', 'tho']","[""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE""]"
6,47,6_whites_kill_trump_high,"['whites', 'kill', 'trump', 'high', 'drown', 'aliens', 'all', 'lets', 'innocent', 'wait']","['Kill trump and whites', 'Kill trump and whites', 'Kill trump and whites']"
7,46,7_semite_you_choke_return,"['semite', 'you', 'choke', 'return', 'shalom', 'bagel', 'jewish', 'bastard', 'prick', 'son']","[""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?"", ""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?"", ""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?""]"
8,43,8_holocaust_happened_actually_wish,"['holocaust', 'happened', 'actually', 'wish', 'much', 'jews', 'so', 'hate', 'the', 'burnt']","['i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened']"
