Topic,Count,Name,Representation,Representative_Docs
0,201,0_and_the_of_you,"['and', 'the', 'of', 'you', 'to', 'white', 'people', 'fuck', 'are', 'that']","['Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.']"
1,83,1_gook_killed_losangeles_deported,"['gook', 'killed', 'losangeles', 'deported', 'or', 'every', 'in', 'should', 'be', 'wetback']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
2,38,2_niggers_hate_even_the,"['niggers', 'hate', 'even', 'the', 'them', 'nigger', 'lowest', 'lazy', 'gauche', 'towelheads']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
3,38,3_know_faced_colder_camcoles,"['know', 'faced', 'colder', 'camcoles', 'somebody', 'monkey', 'name', 'you', 'dont', 'immigrant']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
4,33,4_be_should_bulldozed_chinatown,"['be', 'should', 'bulldozed', 'chinatown', 'slant', 'those', 'right', 'scum', 'here', 'no']","['Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.']"
5,31,5_country_all_taken_obama,"['country', 'all', 'taken', 'obama', 'brought', 'kicked', 'send', 'own', 'illegally', 'trash']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
6,23,6_fucking_language_learn_useless,"['fucking', 'language', 'learn', 'useless', 'immigrant', 'you', 'the', 'shits', 'wash', 'ass']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
7,17,7_jew_hitler_jews_the,"['jew', 'hitler', 'jews', 'the', 'if', 'are', 'hope', 'street', 'holocaust', 'finish']","[""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.""]"
8,16,8_eat_are_your_of,"['eat', 'are', 'your', 'of', 'and', 'you', 'cockroaches', 'is', 'extinct', 'assholes']","[""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth""]"
9,14,9_asian_chong_idiot_ching,"['asian', 'chong', 'idiot', 'ching', 'land', 'an', 'stupid', 'bitch', 'youre', 'go']","[""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land""]"
10,13,10_these_to_their_for,"['these', 'to', 'their', 'for', 'am', 'back', 'we', 'and', 'fight', 'that']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
