Topic,Count,Name,Representation,Representative_Docs
-1,185,-1_with_her_like_he,"['with', 'her', 'like', 'he', 'fuck', 'as', 'and', 'from', 'the', 'race']","[""He is a loser. * Is of Chink descent * Lives with his fucking Mammy * Looks and dresses like a retarded 12 rear old boy * Actually believes that working on some gay-ass app that no one uses and working for a tech company filled with fucking retards, affirmative-action hires, and autistic losers is somehow respectable * Obviously has way low test and a small cock because this fucking loser, f he's as rich as he says he is, can't even keep a basic bitch Hanako * Takes to the internet to fucking whine about it. Need I continue? Fuck the fuck off you pathetiic Chink faggot."", ""He is a loser. * Is of Chink descent * Lives with his fucking Mammy * Looks and dresses like a retarded 12 rear old boy * Actually believes that working on some gay-ass app that no one uses and working for a tech company filled with fucking retards, affirmative-action hires, and autistic losers is somehow respectable * Obviously has way low test and a small cock because this fucking loser, f he's as rich as he says he is, can't even keep a basic bitch Hanako * Takes to the internet to fucking whine about it. Need I continue? Fuck the fuck off you pathetiic Chink faggot."", ""He is a loser. * Is of Chink descent * Lives with his fucking Mammy * Looks and dresses like a retarded 12 rear old boy * Actually believes that working on some gay-ass app that no one uses and working for a tech company filled with fucking retards, affirmative-action hires, and autistic losers is somehow respectable * Obviously has way low test and a small cock because this fucking loser, f he's as rich as he says he is, can't even keep a basic bitch Hanako * Takes to the internet to fucking whine about it. Need I continue? Fuck the fuck off you pathetiic Chink faggot.""]"
0,703,0_be_bulldozed_slant_chinatown,"['be', 'bulldozed', 'slant', 'chinatown', 'those', 'right', 'scum', 'here', 'should', 'have']","['Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.']"
1,609,1_are_eat_your_of,"['are', 'eat', 'your', 'of', 'all', 'you', 'and', 'is', 'cockroaches', 'extinct']","[""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth""]"
2,574,2_killed_gook_or_deported,"['killed', 'gook', 'or', 'deported', 'losangeles', 'in', 'every', 'should', 'be', 'ground']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
3,384,3_chong_ching_idiot_land,"['chong', 'ching', 'idiot', 'land', 'an', 'stupid', 'bitch', 'asian', 'back', 'youre']","[""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land""]"
4,237,4_niggers_hate_even_them,"['niggers', 'hate', 'even', 'them', 'the', 'nigger', 'americanus', 'lowest', 'author', 'gauche']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
5,87,5_india_indian_indians_shit,"['india', 'indian', 'indians', 'shit', 'we', 'these', 'from', 'country', 'like', 'their']","[""we all know Indians are fucking stupid ... they killing their own country not only with the gangi river but letting their so call 'holy cows' shit in streets ... they got a rat temple smfh thats dirty"", 'Fuck India.', 'Fuck India.']"
6,53,6_killed_gook_or_deported,"['killed', 'gook', 'or', 'deported', 'losangeles', 'in', 'every', 'should', 'be', '']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
7,46,7_immigrants_country_america_their,"['immigrants', 'country', 'america', 'their', 'back', 'trump', 'white', 'deport', 'there', 'which']","[""Hmmm. All the places that voted for Goldilocks. Blame the immigrants and people of color. Anyway I'm glad there are no reports of anyone losing their lives."", ""20% of your country is immigrants actually, and that speaks a lot about how shit the place must be. Bunch of fucking rats packed into sardine can, disgusting amount of population density. lmao if you really think you have enough time to save that sardine swamp.  and they brought their shops which means they make money of off you sardines, which means they aren't leaving. and if demographics continue the way they are, they'll fuck you and replace in 2 generations."", ""20% of your country is immigrants actually, and that speaks a lot about how shit the place must be. Bunch of fucking rats packed into sardine can, disgusting amount of population density. lmao if you really think you have enough time to save that sardine swamp.  and they brought their shops which means they make money of off you sardines, which means they aren't leaving. and if demographics continue the way they are, they'll fuck you and replace in 2 generations.""]"
8,42,8_know_faced_colder_camcoles,"['know', 'faced', 'colder', 'camcoles', 'name', 'somebody', 'monkey', 'immigrant', 'dont', 'what']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
9,39,9_learn_language_useless_immigrant,"['learn', 'language', 'useless', 'immigrant', 'fucking', 'the', 'you', '', '', '']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
10,37,10_are_eat_your_of,"['are', 'eat', 'your', 'of', 'all', 'you', 'and', 'is', 'appetites', 'point']","[""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth""]"
11,35,11_kill_holocaust_lets_hitler,"['kill', 'holocaust', 'lets', 'hitler', 'jews', 'asians', 'muslim', 'forget', 'jew', 'trump']","['Forget about them lets start a holocaust and kill asians', 'Forget about them lets start a holocaust and kill asians', 'Forget about them lets start a holocaust and kill asians']"
12,35,12_china_chinese_nukes_up,"['china', 'chinese', 'nukes', 'up', 'alive', 'the', 'we', 'shit', 'nuke', 'out']","['Fuck the chinese! They should all be extermimated! Look up ""dog boiled alive china"" and see if your opinion changes. We need to send all our nukes over there.', ""Canada has sold out to foreign dirty money and it's sad. All you have to do is look at every place where there's Chinatowns and mainland Chinese that buy up properties and you'll see that they have zero western values and will continue to do this shit.  \u200b I worked in China for years and even in the most luxurious malls you'd have people having their kids pee or poop in a bag while the bathroom is fuckin 50 feet away.  \u200b This is the very fundamentals of Chinese business - cut all the costs you can. I worked with loads of Chinese businesses and not a single time did they not try to rip me off."", ""Canada has sold out to foreign dirty money and it's sad. All you have to do is look at every place where there's Chinatowns and mainland Chinese that buy up properties and you'll see that they have zero western values and will continue to do this shit.  \u200b I worked in China for years and even in the most luxurious malls you'd have people having their kids pee or poop in a bag while the bathroom is fuckin 50 feet away.  \u200b This is the very fundamentals of Chinese business - cut all the costs you can. I worked with loads of Chinese businesses and not a single time did they not try to rip me off.""]"
13,34,13_country_obama_taken_brought,"['country', 'obama', 'taken', 'brought', 'kicked', 'send', 'trash', 'illegally', 'own', 'need']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
