Topic,Count,Name,Representation
0,791,0_gays_homosexual_gay,"gays, homosexual, gay, homo, die, queer, should, faggot, faggots, kill, people, fagot, fag, if, men, fags, matter, life, don, say, must, they, do, their, fuck, guy, hell, stop, disgusting, nigga, suck, to, sex, retarded, why, retard, dick, stupid, but, them, what, he, fuckin, that, god, cry, hate, fat, too, fatass"
1,382,1_fagot_fags_burn,"fagot, fags, burn, fag, hell, faggot, faggots, fuck, die, fucking, cry, must, gay, god, ass, fuckin, queer, fat, shit, hate, nigga, fucked, at, bitch, his, fatass, love, kill, gays, for, even, bull, dick, face, guy, bunch, cunt, ain, homo, him, back, gonna, homosexual, with, and, real, have, hole, what, life"
2,227,2_bull_cock_bitch,"bull, cock, bitch, whimper, pussy, cum, raping, squeal, breed, wish, boi, sucking, want, hole, suck, cry, shut, big, dick, retard, stop, nigga, ain, much, come, more, sex, fuckin, for, you, wanted, have, will, gonna, get, that, hell, retarded, huge, all, say, let, your, fuck, don, slut, niggerloving, ass, pathetic, make"
3,154,3_fags_fag_faggot,"fags, fag, faggot, faggots, fagot, fuckin, cunt, fuck, gay, nigga, bitch, fucking, cry, retarded, queer, ass, shit, those, stop, stupid, fatass, retard, why, hate, bunch, pussy, lol, gonna, he, love, big, re, ain, don, him, who, pathetic, guy, gays, cum, feel, his, homo, come, cock, real, matter, squeal, disgusting, shut"
4,133,4_faggot_faggots_fag,"faggot, faggots, fag, fags, fagot, ll, bitch, cunt, fuck, don, fuckin, let, me, at, stop, my, put, your, gay, him, queer, who, hey, bunch, one, will, shut, fatass, ur, his, you, on, hate, why, come, suck, he, ass, what, big, her, boy, should, cry, fucking, back, lol, gonna, nigga, she"
5,120,5_cock_cum_pussy,"cock, cum, pussy, dick, ass, bitch, nigga, fuckin, sucking, sex, raping, slut, boy, fuck, disgusting, hole, queer, cunt, mouth, would, ain, homosexual, faggot, fucked, suck, retard, shut, faggots, gonna, fag, come, lol, gay, that, if, retarded, fags, fatass, niggerloving, your, guy, don, ur, you, big, let, my, squeal, load, much"
6,104,6_homosexual_gays_gay,"homosexual, gays, gay, queer, homo, faggots, faggot, fuck, dick, disgusting, hate, fags, cunt, fucking, fuckin, ass, nigga, matter, fatass, slut, pathetic, niggerloving, bitch, fag, men, pussy, fagot, cry, retarded, cock, suck, sex, their, retard, shut, don, why, shit, lol, fucked, bunch, every, hell, boy, stop, stupid, that, what, world, dumb"
7,82,7_faggot_faggots_fags,"faggot, faggots, fags, cunt, bitch, fag, nigga, fuckin, pussy, stop, fagot, fuck, suck, retarded, cry, retard, niggerloving, fatass, gay, queer, ass, shut, lol, gonna, come, don, dick, cock, homosexual, sucking, my, cum, shit, your, ur, bunch, hate, pathetic, gays, disgusting, mouth, fucking, what, squeal, boy, slut, stupid, let, thing, you"
8,81,8_alpha_fag_faggots,"alpha, fag, faggots, faggot, fags, fagot, nigga, cunt, ass, pussy, lol, bitch, boy, ur, retard, retarded, guy, queer, sucking, cock, why, mouth, squeal, what, gay, hole, come, homosexual, cum, your, homo, stop, fatass, he, bull, gonna, do, suck, fuckin, my, get, disgusting, slut, cry, me, his, pathetic, know, you, him"
9,75,9_suck_dick_sucking,"suck, dick, sucking, bitch, cock, nigga, faggot, cum, fag, cry, fuckin, fags, fuck, faggots, pussy, don, stop, gay, ass, come, shut, ain, cunt, ur, pathetic, mouth, gonna, disgusting, guy, take, die, homosexual, shit, do, your, kill, boy, stupid, hey, say, let, get, if, queer, how, burn, call, give, retard, hate"
10,74,10_homosexual_gays_gay,"homosexual, gays, gay, homo, queer, faggots, god, faggot, hell, disgusting, niggerloving, matter, their, dick, hate, sex, because, men, if, but, just, they, burn, retarded, that, them, fags, pathetic, nigga, slut, well, has, retard, cry, be, then, suck, die, know, lol, why, some, have, must, stupid, fagot, what, to, than, people"
11,71,11_faggot_faggots_fags,"faggot, faggots, fags, fag, cunt, gay, homosexual, fagot, retarded, fuck, queer, fuckin, nigga, bitch, retard, gays, homo, cry, stop, don, fatass, hate, stupid, suck, pathetic, dick, niggerloving, shit, shut, ass, he, fucking, what, come, dumb, my, matter, ur, pussy, cock, do, gonna, his, fucked, your, talk, feel, bunch, why, me"
12,70,12_homosexual_gays_queer,"homosexual, gays, queer, gay, homo, disgusting, faggots, faggot, slut, ass, men, niggerloving, cunt, pussy, their, pathetic, fags, nigga, sucking, lol, women, suck, what, fatass, hate, fag, dick, sex, matter, well, fat, fagot, they, retarded, why, retard, them, but, if, you, me, some, know, fucking, every, that, your, careful, were, my"
13,68,13_faggot_faggots_fags,"faggot, faggots, fags, fag, cunt, him, fagot, his, he, gay, retarded, homosexual, fatass, guy, retard, queer, nigga, gays, what, niggerloving, why, fuckin, who, ass, fuck, bitch, dick, stupid, stop, fat, child, dumb, pathetic, don, homo, probably, those, hate, has, me, of, matter, thing, that, my, god, hell, lol, should, but"
14,67,14_faggot_faggots_shut,"faggot, faggots, shut, cunt, fags, fag, retarded, stop, retard, fuckin, cry, bitch, fuck, fagot, pathetic, nigga, don, gay, hate, stupid, dumb, come, fatass, homosexual, suck, shit, fucking, niggerloving, hey, your, queer, lol, dick, talk, homo, that, my, gays, gonna, why, bunch, big, re, me, kill, cock, you, give, disgusting, ass"
15,64,15_faggot_faggots_fags,"faggot, faggots, fags, fag, fagot, cunt, stop, retarded, cry, retard, gay, shut, bitch, nigga, homosexual, don, fuckin, fuck, niggerloving, hate, pathetic, queer, stupid, suck, gays, talk, dumb, fatass, do, kill, shit, ur, if, lol, what, gonna, bunch, feel, homo, matter, die, come, but, my, me, your, why, he, go, thing"
16,64,16_faggot_faggots_fags,"faggot, faggots, fags, fag, fagot, cunt, retarded, what, gay, homosexual, queer, retard, fatass, fuck, pathetic, bitch, nigga, hate, gays, fuckin, stupid, thing, his, my, niggerloving, ass, their, stop, homo, cry, was, big, he, dumb, shit, child, the, bunch, matter, little, feel, fat, is, fucking, who, him, those, don, an, why"
17,61,17_faggot_faggots_fag,"faggot, faggots, fag, fags, kill, retarded, retard, cunt, die, fagot, stop, nigga, cry, bitch, fuckin, fatass, don, shut, fuck, ur, gay, pathetic, do, suck, hate, gonna, feel, niggerloving, lol, shit, stupid, if, burn, your, talk, come, look, what, fucking, you, homosexual, me, dumb, bunch, disgusting, boy, my, yourself, he, eat"
18,60,18_kike_niggerloving_sucking,"kike, niggerloving, sucking, nigga, stop, faggot, faggots, fatass, suck, cunt, mouth, cum, slut, bitch, dick, cock, load, raping, fat, fuckin, disgusting, get, shut, how, kill, cry, retarded, let, retard, while, sex, pussy, hole, he, you, don, bull, his, him, ain, homosexual, re, fuck, burn, to, thing, no, squeal, my, gay"
