Topic,Count,Name,Representation
0,422,0_deport_deported_illegals,"deport, deported, illegals, refugees, immigrant, mexican, terrorists, illegally, invaders, mexico, savages, americans, rapists, america, murderers, parasites, syrian, idiots, invade, guatemala, losers, fuck, arab, illegal, scum, them, don, killed, learn, nations, ship, what, their, wall, losangeles, states, fucking, communist, our, savage, the, trash, die, know, those, they, obama, resist, we, brought"
1,209,1_deported_illegals_deport,"deported, illegals, deport, illegally, refugees, terrorists, immigrant, invaders, kicked, obama, parasites, mexican, mexico, americans, syrian, them, murderers, illegal, guatemala, their, rapists, losers, savages, ones, brought, the, our, trash, losangeles, arab, they, these, people, nations, invade, wetbacks, many, idiots, ways, killed, armed, america, unacceptable, those, to, with, fight, states, none, of"
2,172,2_losangeles_savages_wetbacks,"losangeles, savages, wetbacks, illegals, invaders, refugees, savage, rapists, deported, mexican, parasites, because, idiots, mexico, deport, breed, wetback, illegally, terrorists, murderers, americans, why, our, losers, immigrant, scum, the, america, their, spic, right, them, we, they, ltr, invade, live, have, guatemala, killed, of, filthy, illegal, half, here, are, fuck, states, people, country"
3,148,3_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, deport, invaders, resist, guatemala, fight, won, invade, savages, scum, day, americans, immigrant, we, fuck, losers, illegally, refugees, if, fucking, should, our, deported, don, america, brought, power, giving, know, terrorists, killed, communist, idiots, will, you, states, keep, build, losangeles, ll, savage, am, die, change, so, get"
4,148,4_refugees_syrian_deport,"refugees, syrian, deport, immigrant, wall, illegals, deported, mexican, arab, terrorists, invaders, mexico, keep, ship, rapists, parasites, live, americans, illegally, invade, america, savages, build, guatemala, murderers, scum, die, obama, change, what, resist, losers, idiots, fuck, killed, breed, the, trash, armed, learn, fucking, brought, should, ways, suit, islamic, our, will, fight, against"
5,78,5_wetbacks_wetback_losers,"wetbacks, wetback, losers, ltr, back, fuck, trash, you, send, fucking, sorrynotsorry, ll, keep, your, on, we, won, why, kicked, our, round, against, out, savages, losangeles, ones, sent, any, savage, unacceptable, useless, fight, those, go, brought, them, get, don, their, what, idiots, ready, for, they, at, rapists, live, all, there, do"
6,70,6_losangeles_deported_deport,"losangeles, deported, deport, illegals, mexican, gook, murderers, illegally, mexico, immigrant, killed, guatemala, refugees, terrorists, illegal, should, parasites, unacceptable, fuck, invaders, rapists, idiots, americans, every, america, the, or, die, ones, if, don, those, savages, states, many, ltr, them, fucking, losers, ship, what, why, we, invade, are, none, our, too, any, trash"
7,58,7_immigrant_learn_language,"immigrant, learn, language, mexican, deport, deported, refugees, arab, illegals, useless, fuck, fucking, idiots, americans, illegally, islamic, syrian, savage, mexico, guatemala, america, useful, losers, breed, know, work, country, savages, be, scum, ship, die, losangeles, nations, live, communist, invaders, parasites, brought, terrorists, illegal, ways, do, don, fight, have, what, get, must, resist"
8,53,8_immigrant_deported_refugees,"immigrant, deported, refugees, mexican, deport, don, illegals, savages, savage, guatemala, scum, obama, know, have, send, do, that, your, you, white, those, arab, live, what, americans, black, communist, learn, mexico, fucking, country, america, spic, we, why, any, ll, they, this, wall, losangeles, them, language, their, keep, try, idiots, fuck, losers, of"
9,49,9_arab_syrian_islamic,"arab, syrian, islamic, terrorists, deported, refugees, deport, savages, idiots, illegals, scum, americans, illegally, savage, mexico, fuck, america, losers, have, invade, guatemala, immigrant, mexican, rapists, unacceptable, their, fucking, right, wall, obama, must, killed, learn, if, brought, your, what, our, should, change, why, with, live, know, murderers, communist, them, trash, of, illegal"
10,47,10_deported_losangeles_deport,"deported, losangeles, deport, illegals, mexican, illegally, mexico, immigrant, unacceptable, scum, refugees, illegal, guatemala, should, fuck, communist, must, the, states, america, idiots, rapists, terrorists, losers, kicked, don, fucking, savages, americans, are, too, to, our, against, what, round, those, murderers, every, them, trash, invaders, if, killed, ltr, their, that, arab, why, wall"
