Topic,Count,Name,Representation
0,735,0_chinatown_deported_losangeles,"chinatown, deported, losangeles, slant, bulldozed, immigrant, chinks, scum, chong, should, chinese, fuck, asian, gauche, stealing, the, niggers, article, spicks, where, ching, disgusting, don, fucking, nigger, assholes, cockroaches, are, until, to, our, what, those, land, bitch, off, stupid, every, re, them, kikes, pangolin, american, killed, if, why, their, towelheads, that, all"
1,647,1_cockroaches_chinks_extinct,"cockroaches, chinks, extinct, stealing, eat, excuse, appetites, creature, food, pangolin, morals, disgusting, intellectual, niggers, nigger, ethic, assholes, gook, technology, deported, is, earth, if, kikes, don, planet, stupid, africans, fuck, for, not, of, have, shit, are, gauche, human, ching, because, article, know, to, that, property, no, killed, and, what, why, make"
2,643,2_losangeles_deported_gook,"losangeles, deported, gook, immigrant, killed, cockroaches, should, chinks, fuck, chinatown, every, gauche, stupid, the, niggers, spicks, assholes, or, chong, extinct, if, don, disgusting, even, those, bunch, bulldozed, point, where, article, why, them, fucking, what, we, are, any, our, until, all, nigger, clue, they, american, anything, these, land, right, and, will"
3,382,3_chong_ching_chinese,"chong, ching, chinese, chinatown, asian, chinks, pangolin, idiot, bitch, stupid, land, gauche, shit, immigrant, gook, country, deported, should, nigger, where, back, kikes, point, fuck, scum, what, fucking, do, know, if, don, disgusting, niggers, excuse, will, intellectual, american, make, go, with, to, extinct, every, why, assholes, your, for, from, killed, white"
4,241,4_nigger_niggers_chinks,"nigger, niggers, chinks, niggrus, africans, blacks, gauche, article, immigrant, hate, kikes, author, ching, extinct, cockroaches, pangolin, chinese, human, asian, gook, what, americanus, chong, deported, the, assholes, black, them, american, they, excuse, stealing, erase, those, white, chinatown, their, creature, people, ethic, intellectual, towelheads, lazy, point, we, it, don, clue, killed, that"
5,126,5_asian_bitch_chinese,"asian, bitch, chinese, chinatown, chinks, chong, ass, disgusting, nigger, fuck, niggers, get, scum, gauche, your, ching, don, you, what, blacks, those, shit, gook, assholes, cockroaches, that, why, kikes, their, africans, bulldozed, fucking, if, with, excuse, human, them, make, niggrus, stealing, know, every, do, bunch, stupid, immigrant, deported, they, there, like"
6,114,6_deported_africans_scum,"deported, africans, scum, fuck, immigrant, disgusting, assholes, niggers, hate, nigger, bitch, country, chinks, should, asian, shit, don, extinct, killed, their, cockroaches, know, do, that, fucking, what, why, land, blacks, idiot, them, excuse, will, point, stupid, for, bulldozed, morals, chong, those, have, with, to, they, even, gook, our, chinatown, not, we"
7,103,7_chinese_chinks_chong,"chinese, chinks, chong, chinatown, ching, asian, immigrant, pangolin, country, deported, fuck, disgusting, africans, land, gook, extinct, niggers, don, shit, bitch, american, nigger, assholes, excuse, know, killed, idiot, point, with, them, blacks, gauche, hate, earth, stupid, cockroaches, eat, those, what, fucking, kikes, like, where, scum, that, stealing, do, bulldozed, make, have"
8,81,8_blacks_nigger_niggers,"blacks, nigger, niggers, africans, white, scum, immigrant, deported, hate, black, bitch, asian, idiot, assholes, what, don, american, fuck, stupid, stealing, disgusting, excuse, have, extinct, chinatown, killed, intellectual, chinks, your, bulldozed, cockroaches, gauche, shit, do, point, niggrus, if, chong, you, know, the, morals, fucking, with, every, are, that, their, human, will"
9,74,9_immigrant_deported_american,"immigrant, deported, american, blacks, africans, niggers, country, assholes, chinatown, nigger, land, extinct, americanus, losangeles, point, hate, asian, them, their, chinks, stealing, scum, fuck, know, cockroaches, what, our, to, stupid, bulldozed, where, gauche, chinese, don, idiot, the, fucking, with, shit, chong, killed, towelheads, people, disgusting, here, heres, re, white, they, we"
10,54,10_niggers_asian_africans,"niggers, asian, africans, nigger, blacks, chinatown, killed, deported, them, their, they, extinct, immigrant, assholes, hate, chinese, erase, point, disgusting, chinks, what, towelheads, should, that, until, those, stupid, article, don, people, there, if, the, excuse, with, fuck, scum, gauche, we, shit, or, kikes, to, fucking, gook, for, do, not, re, bunch"
