Topic,Count,Name,Representation,Representative_Docs
-1,284,-1_and_the_to_white,"['and', 'the', 'to', 'white', 'with', 'your', 'of', 'be', 'just', 'in']","['They better wake up as soon as possible, start deporting these animals, or hell, if you have to, start getting a bit forceful and kill them. These people wanna wipe out the native Europeans? Well, its time to say no and to start getting rid of these animals.', 'They better wake up as soon as possible, start deporting these animals, or hell, if you have to, start getting a bit forceful and kill them. These people wanna wipe out the native Europeans? Well, its time to say no and to start getting rid of these animals.', 'I\'m with you. I\'m pretty sure all the women and children are just hauled around in buses by the media until it\'s time for another photo shoot. Pisses me off. Just look at all these damn men. One of them a big pussy boy with cankles wearing a shirt that says (ON English, no less) ""Man Up or Shut Up"" while he\'s *RUNNING AWAY FROM HIS COUNTRY*. What a bitch. URL.jpg']"
0,164,0_you_semite_fucking_if,"['you', 'semite', 'fucking', 'if', 'son', 'shalom', 'bagel', 'return', 'choke', 'bastard']","[""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?"", ""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?"", ""JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?""]"
1,162,1_confronts_finish_street_hitler,"['confronts', 'finish', 'street', 'hitler', 'didnt', 'ur', 'then', 'nigger', 'can', 'what']","[""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then."", ""Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.""]"
2,125,2_are_not_they_our,"['are', 'not', 'they', 'our', 'signatures', 'subversive', 'kenite', 'independence', 'serpent', 'founding']","['There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.', 'There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.', 'There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.']"
3,95,3_happened_holocaust_wish_much,"['happened', 'holocaust', 'wish', 'much', 'actually', 'so', 'jews', 'hate', 'the', '']","['i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened']"
4,91,4_racist_white_and_is,"['racist', 'white', 'and', 'is', 'url', 'people', 'youre', 'to', 'his', 'you']","['Fuck that racist and Trump I hope they burn in hell', 'Fuck that racist and Trump I hope they burn in hell', 'Yawovi E. he\'s a racist just like sodomite Lemon who fucks a white man, his ""roommate"" an all black college, yeah, sure, no systemic racism there, what if we had an all white college, THEN that would be ""racist"" see? I\'m using leftist NPC wisdom, which basically says when one cannot compete in the arena of ideas, throw out the R word, and accuse the other side of what you are']"
5,84,5_kike_fatass_niggerloving_dick,"['kike', 'fatass', 'niggerloving', 'dick', 'stop', 'sucking', 'that', 'you', 'whore', 'lunatic']","[""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE""]"
6,67,6_india_indian_indians_to,"['india', 'indian', 'indians', 'to', 'shit', 'hindus', 'go', 'people', 'and', 'like']","['All you hindus should go back to paki you fucking indian go back to mexico!', 'All you hindus should go back to paki you fucking indian go back to mexico!', ""The Gay Indian Sodomite Varadkar has zero loyalty to the Irish people and should be deported back to India..... How the Fuck is there no push back from the opposition?? Its time to stop the talking and start taking action because the pathetic spineless traitor Government are laughing at us and how easy it is to destroy Ireland... The people need to start speaking up and waking up fast because where running out of time... I'll be at every protest that's on..... 🇮🇪 🇮🇪""]"
7,64,7_know_colder_camcoles_somebody,"['know', 'colder', 'camcoles', 'somebody', 'faced', 'monkey', 'name', 'immigrant', 'what', 'dont']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
8,54,8_my_ass_niggas_your,"['my', 'ass', 'niggas', 'your', 'me', 'pussy', 'dick', 'whitepowerill', 'cum', 'cock']","['Watch him fuck me, cuck. Watch a real man fuck my pussy. Watch his big cock stretch my cunt while your worthless little dick gets hard as a rock. #cuckold #hotwife #cuckoldcaptions #sph #interracialcuckold URL', ""I'd fuck your thick ass curry flavored cunt until I filled your cervix with my fresh hot cum. I want your belly and tits to swell up and give your body a purpose aside from whoring yourself online. I want you to be my little Indian slut slave. You want my thick hard white American dick to put a baby in you?"", ""Fuck your ass on that dildo while I watch you, slave! Take all of the dildo up your ass. Don't tell me it hurts! I'll reach between your legs to finger your pussy until you cum, as you fuck your ass. Then I'll stroke my cock and shoot my cum on your face as you sit on that dildo. URL""]"
9,49,9_country_shithole_go_you,"['country', 'shithole', 'go', 'you', 'world', 'back', 'to', 'than', 'we', 'the']","[""Please. You 3rd world mongrels would be destroyed in a week if we decided you needed to go. Don't you realize you come from a failed race and we surpassed you in less than 150 years? Tiny Britain enslaved you pieces of shit. You think you have a chance against the USA?  You mutts are so fucking stupid. No wonder you're country is such a shithole disgrace."", ""Please. You 3rd world mongrels would be destroyed in a week if we decided you needed to go. Don't you realize you come from a failed race and we surpassed you in less than 150 years? Tiny Britain enslaved you pieces of shit. You think you have a chance against the USA?  You mutts are so fucking stupid. No wonder you're country is such a shithole disgrace."", ""Please. You 3rd world mongrels would be destroyed in a week if we decided you needed to go. Don't you realize you come from a failed race and we surpassed you in less than 150 years? Tiny Britain enslaved you pieces of shit. You think you have a chance against the USA?  You mutts are so fucking stupid. No wonder you're country is such a shithole disgrace.""]"
10,44,10_these_their_to_am,"['these', 'their', 'to', 'am', 'for', 'back', 'savage', 'unacceptable', 'mexicoguatemala', 'useful']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
11,43,11_israel_and_the_zionist,"['israel', 'and', 'the', 'zionist', 'evil', 'they', 'all', 'america', 'god', 'url']","['Fuck Israel!', ""Let's get one thing straight, Zionism will be the death of America! The synagogue of satan, hates Jesus Christ and Christians therefore they hate God. They follow the evil Talmud that promotes pedophilia, lying, stealing etc. The evil Jews fly Rempham's star, the hexagram on their flag.... wake up America! They are devils.."", ""Let's get one thing straight, Zionism will be the death of America! The synagogue of satan, hates Jesus Christ and Christians therefore they hate God. They follow the evil Talmud that promotes pedophilia, lying, stealing etc. The evil Jews fly Rempham's star, the hexagram on their flag.... wake up America! They are devils..""]"
12,43,12_trump_muslim_kill_palestinian,"['trump', 'muslim', 'kill', 'palestinian', 'friend', 'true', 'next', 'help', 'president', 'will']","['trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.', 'trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.']"
13,40,13_happened_holocaust_wish_much,"['happened', 'holocaust', 'wish', 'much', 'actually', 'so', 'jews', 'hate', 'the', '']","['i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened']"
14,37,14_niggers_hate_even_niggrus,"['niggers', 'hate', 'even', 'niggrus', 'spicks', 'clue', 'ethic', 'form', 'gauche', 'erase']","['yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them', 'yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them']"
15,35,15_country_brought_kicked_obama,"['country', 'brought', 'kicked', 'obama', 'taken', 'illegally', 'send', 'trash', 'own', 'all']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
16,28,16_halfbreed_spic_wetback_filthy,"['halfbreed', 'spic', 'wetback', 'filthy', 'none', 'live', 'savages', 'many', 'right', 'losangeles']","['Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.']"
17,28,17_happened_holocaust_wish_much,"['happened', 'holocaust', 'wish', 'much', 'actually', 'so', 'jews', 'hate', 'the', '']","['i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened', 'i hate jews so much i wish the holocaust actually happened']"
18,27,18_keep_out_wall_the,"['keep', 'out', 'wall', 'the', 'murderers', 'syrian', 'mexican', 'either', 'united', 'parasites']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
19,26,19_country_all_send_brought,"['country', 'all', 'send', 'brought', 'kicked', 'obama', 'taken', 'trash', 'illegally', 'own']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
20,26,20_gook_killed_deported_losangeles,"['gook', 'killed', 'deported', 'losangeles', 'every', 'should', 'or', 'be', 'in', 'migrants']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
21,24,21_jews_trillion_gas_this,"['jews', 'trillion', 'gas', 'this', 'happens', 'government', 'themselves', 'the', 'war', 'debt']","['This is what happens when Jews run your government.', 'To US tax payers: Free yourself from satanic jews before they ad another 10 trillion to your already 22 trillion debt, by sending you into a new war.', 'To US tax payers: Free yourself from satanic jews before they ad another 10 trillion to your already 22 trillion debt, by sending you into a new war.']"
22,24,22_language_learn_useless_immigrant,"['language', 'learn', 'useless', 'immigrant', 'fucking', 'you', 'the', 'celebrates', 'migrant', 'swedish']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
23,23,23_jews_their_inbred_inferiority,"['jews', 'their', 'inbred', 'inferiority', 'talentless', 'are', 'thugs', 'they', 'everything', 'themselves']","['Con artist scum like this Jew faggot need to get real jobs instead of feeding off of milking naive desperate people of their money.', 'They are all seeds of the fallen angels, they have no history, no God, their Jesus is fake just like them. They are unnatural and recessive what type of God woiid create a temporary race????', 'The zio jews are carriers of the biggest inferiority complex Globally...they have to keep repeating their two mantras ...the Shoah and the Supremacy ...to raise themselves from their obvious innate inferiority! URL']"
24,21,24_germany_was_lets_nazis,"['germany', 'was', 'lets', 'nazis', 'elements', 'purged', 'job', 'the', 'at', 'he']","['Fucking Speertards, right? Heydrich is the only viable option. Only he can ensure that the Reich lasts a glorious thousand years. \'Freedom\' is for homojewish Italians and ""look at me I\'ve got 179 different ethnicities in my DNA"" Americans.', '@Brian p some said Joseph Goebells was terrible too..who else was going to make the articulate case the Jew was vermin? He was doing his job too..great man with a nice large family..the tricks by those who did not support the facist state which wanted to include Jews, gypsies, homosexuals were disgusting politics too..those elements were purged like Trump will purge such elements today in the name citizenship..pure and clean..make Germany.. eh..I mean MAGA..', '@Brian p some said Joseph Goebells was terrible too..who else was going to make the articulate case the Jew was vermin? He was doing his job too..great man with a nice large family..the tricks by those who did not support the facist state which wanted to include Jews, gypsies, homosexuals were disgusting politics too..those elements were purged like Trump will purge such elements today in the name citizenship..pure and clean..make Germany.. eh..I mean MAGA..']"
25,19,25_shit_realdonaldtrump_now_you,"['shit', 'realdonaldtrump', 'now', 'you', 'shut', 'and', 'like', 'white', 'michelleobama', 'fucked']","[""@mattgaetz @mmehenriquez You're a racist scumbag to your very core, you stupid bastard people have been killed because of racist comments like this and you're still on that goddamn hateful sick shit. I can't wait for karmic Justice to hit your ass"", '@pete7630 @SenSchumer @realDonaldTrump F#%k you, piece of shit towel head. I used to be live and let live, now I am ready for that holy war you all have been warning us infidels about. Eat shit you pedophile woman beating camel Jockey', 'So it takes 4-8 hours now to be seen at urgent care. Get ready for 4-8 days if these TRAITORS give free healthcare to all their illegals. We know you love the illegals, and hate American tax payers. And you are a racist, so keep playing the race card. Good luck with that.']"
26,19,26_russia_china_bloodline_chinese,"['russia', 'china', 'bloodline', 'chinese', 'and', 'russian', 'nuke', 'that', 'shit', 'all']","['china needs to slaughter the entire rh- LIE bloodline and ALL that serves that bloodline. that bloodline is mixed with the jew rh-blood and controls that country', ""It's easy to blame Russia as a country for this. Everything they do is terrible and they're the biggest laughing stock of a barely-developed nation known to man. At least places like China and India get the benefit of being legitimate third world shit holes. Russia just flat out fucking sucks and this is more proof."", ""It's easy to blame Russia as a country for this. Everything they do is terrible and they're the biggest laughing stock of a barely-developed nation known to man. At least places like China and India get the benefit of being legitimate third world shit holes. Russia just flat out fucking sucks and this is more proof.""]"
27,18,27_her_being_woman_term,"['her', 'being', 'woman', 'term', 'lightly', 'failure', 'globalist', 'heart', 'had', 'protecting']","['Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!', 'Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!', 'Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!']"
28,18,28_assimilate_or_secular_prepared,"['assimilate', 'or', 'secular', 'prepared', 'threaten', 'democracy', 'beat', 'terror', 'plan', 'assault']","[""GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!"", ""GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!"", ""GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!""]"
29,17,29_somalia_her_omar_back,"['somalia', 'her', 'omar', 'back', 'deport', 'she', 'to', 'american', 'from', 'somalian']","['@TomFitton Omar,is an Islamic terrorists from Somalia,this demented ungrateful black monkey must be sent back to Somalia where she came from', ""Send her back, Ilhan Omar go back to Somalia were you belong. America don't want you here. President Trump strip her citizenship and deport her. Shame on you Omar you are snake in this country."", 'Deport her send her back to Somalia she is a terrorist piece of shit.']"
30,16,30_allah_up_go_islam,"['allah', 'up', 'go', 'islam', 'peaceful', 'ion', 'jealous', 'minded', 'yey', 'mongs']","['Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.', 'Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.']"
