Topic,Count,Name,Representation,Representative_Docs
-1,9,-1_ching_land_chong_asian,"['ching', 'land', 'chong', 'asian', 'idiot', 'bitch', 'an', 'youre', 'stupid', 'go']","[""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land"", ""Stupid Asian Bitch You're an idiot and you should go back to ching chong land""]"
0,446,0_you_are_the_and,"['you', 'are', 'the', 'and', 'to', 'your', 'they', 'of', 'deport', 'them']","[""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth"", ""That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth""]"
1,193,1_country_all_obama_kicked,"['country', 'all', 'obama', 'kicked', 'taken', 'brought', 'trash', 'own', 'there', 'send']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
2,171,2_halfbreed_none_spic_savages,"['halfbreed', 'none', 'spic', 'savages', 'filthy', 'wetback', 'live', 'many', 'any', 'so']","['Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.']"
3,146,3_to_for_their_these,"['to', 'for', 'their', 'these', 'am', 'we', 'that', 'is', 'back', 'and']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
4,118,4_the_out_fucking_of,"['the', 'out', 'fucking', 'of', 'keep', 'and', 'syrian', 'islamic', 'murderers', 'parasites']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
5,77,5_wetbacks_sorrynotsorry_l1ltr4p_losers,"['wetbacks', 'sorrynotsorry', 'l1ltr4p', 'losers', 'fucking', 'seem', 'reading', 'post', 'lol', 'more']","['@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry', '@L1LTR4P fucking losers wetbacks #SorryNotSorry']"
6,70,6_gook_killed_deported_or,"['gook', 'killed', 'deported', 'or', 'every', 'should', 'losangeles', 'in', 'be', 'ha']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
7,53,7_useless_language_learn_fucking,"['useless', 'language', 'learn', 'fucking', 'immigrant', 'you', 'the', '', '', '']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
8,50,8_know_you_name_monkey,"['know', 'you', 'name', 'monkey', 'colder', 'camcoles', 'faced', 'somebody', 'what', 'immigrant']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
9,39,9_should_be_slant_bulldozed,"['should', 'be', 'slant', 'bulldozed', 'chinatown', 'those', 'deported', 'every', 'right', 'no']","['Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.']"
10,37,10_very_this_omar_and,"['very', 'this', 'omar', 'and', 'east', 'barbaric', 'middle', 'rashid', 'watching', 'pigs']","['My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.']"
11,28,11_the_out_fucking_of,"['the', 'out', 'fucking', 'of', 'keep', 'and', 'syrian', 'islamic', 'murderers', 'parasites']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
12,17,12_country_all_kicked_taken,"['country', 'all', 'kicked', 'taken', 'obama', 'brought', 'trash', 'own', 'there', 'send']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
