Topic,Count,Name,Representation,Representative_Docs
-1,408,-1_the_to_in_and,"['the', 'to', 'in', 'and', 'of', 'you', 'is', 'these', 'like', 'that']","[""There is a cure for them it's called hanging. The answers right in front of your eyes it is a sickness just like trans gender just like gay they're all dysphoria. Mental illness I'm not going to go along with it. You can tell me a room is black but it's white I'm not going to say it's black just because you say so. A man is a man and a woman is a woman. You cannot change what you are just because you think so if I think I'm a millionaire do I suddenly get $PHONE in my bank account it's stupid. It's brainwashing the masses to accept any ridiculous idea."", 'Trump is anti-women. Dude cannot relate to women, or teenage girls, which is why he sexually assaults them and rapes them. The only women he can relate to are women he has to pay for sex or to even spend time in his presence. Now THAT is un-American. The Orange Racist Rapist should definitely get out of our country. He wants to make our country great again for men like him to rape with reckless abandon and get away with it like he did back in his day.', 'Trump is anti-women. Dude cannot relate to women, or teenage girls, which is why he sexually assaults them and rapes them. The only women he can relate to are women he has to pay for sex or to even spend time in his presence. Now THAT is un-American. The Orange Racist Rapist should definitely get out of our country. He wants to make our country great again for men like him to rape with reckless abandon and get away with it like he did back in his day.']"
0,151,0_nigga_niggas_ass_bitch,"['nigga', 'niggas', 'ass', 'bitch', 'fuck', 'that', 'his', 'they', 'yo', 'on']","['Hate a pussy ass nigga', 'Fuck a nigga & fuck a bitch', 'Fuck a nigga & fuck a bitch']"
1,130,1_faggot_fag_faggots_fucking,"['faggot', 'fag', 'faggots', 'fucking', 'fags', 'fuck', 'you', 'gay', 'who', 'the']","['Shut the fuck up you faggot', 'GET THE FUCK OFF ME FAGGOT', ""That's because you're a faggot.""]"
2,114,2_stop_shoots_careful_squeal,"['stop', 'shoots', 'careful', 'squeal', 'wanted', 'apart', 'breed', 'bull', 'whimper', 'load']","[""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL"", ""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL"", ""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL""]"
3,86,3_pussy_bitch_shut_fuck,"['pussy', 'bitch', 'shut', 'fuck', 'dumb', 'lil', 'girl', 'ass', 'bitches', 'face']","['Shut the fuck up you dumb bitch. Quit talking bout pussy if you dont get any bitch.', 'shut the fuck up you dumb ass bitch', 'Pussy bitch']"
4,58,4_dick_suck_my_eat,"['dick', 'suck', 'my', 'eat', 'ass', 'work', 'queer', 'choke', 'toasting', 'little']","[""Suck my fuckin' dick"", 'suck my dick stupid bitch', 'Suck your dick.']"
5,50,5_she_her_neckbeards_shes,"['she', 'her', 'neckbeards', 'shes', 'neckbeard', 'the', 'to', 'bro', 'handle', 'fukken']","['Most neckbeards are too afraid of women irl to get to the point where they actually get violent. When a hot girl walks into a room, the average neckbeard will stand on the opposite side making awkward eye contact and smiling hoping she comes up and falls in love. When she invariable doesn\'t, he goes home brimming with indignant rage and posts online about how ""WOMEN ONLY WANT DOUCHEBAGS""', ""Closet pedo, neckbeard incels think she's paying them attention and behaving like their girlfriend, disregarding the money-goods/services exchange because they're stupid testosterone sponges without brains.  Like the Butters' Bottom Bitch episode from South Park. And one of the testosterone sponges with violent tendencies won't be able to handle the shattered ego after realizing she played with their emotions will kill her. One dumb fuck six feet under, one dumb fuck six years behind bars."", ""Closet pedo, neckbeard incels think she's paying them attention and behaving like their girlfriend, disregarding the money-goods/services exchange because they're stupid testosterone sponges without brains.  Like the Butters' Bottom Bitch episode from South Park. And one of the testosterone sponges with violent tendencies won't be able to handle the shattered ego after realizing she played with their emotions will kill her. One dumb fuck six feet under, one dumb fuck six years behind bars.""]"
6,48,6_incel_incels_experience_basement,"['incel', 'incels', 'experience', 'basement', 'an', 'who', 'of', 'the', 'moms', 'in']","[""Incel is used as the insult of choice because in 2019 sociosexual experience is the determinant of a males worth. A man who acts disgustingly is thus necessarily the equivalent of a man with no dating/sexual experience because that's the most disgusting specimen of humanity"", ""Incel is used as the insult of choice because in 2019 sociosexual experience is the determinant of a males worth. A man who acts disgustingly is thus necessarily the equivalent of a man with no dating/sexual experience because that's the most disgusting specimen of humanity"", ""Incel is used as the insult of choice because in 2019 sociosexual experience is the determinant of a males worth. A man who acts disgustingly is thus necessarily the equivalent of a man with no dating/sexual experience because that's the most disgusting specimen of humanity""]"
7,44,7_my_cum_suck_her,"['my', 'cum', 'suck', 'her', 'id', 'while', 'ill', 'cock', 'it', 'then']","['Suck my dick, while i choke you! Deeptroat it! 🔥 Put it as deep as you can! I force you to eat my cock exactly how you imagine to suck a wet pussy! 👏 And then suck all of my toes! One by one! Youre a lil bitch not a man! 👏 #findom #femdom #cuckold URL', 'Suck my dick, while i choke you! Deeptroat it! 🔥 Put it as deep as you can! I force you to eat my cock exactly how you imagine to suck a wet pussy! 👏 And then suck all of my toes! One by one! Youre a lil bitch not a man! 👏 #findom #femdom #cuckold URL', 'Suck my dick, while i choke you! Deeptroat it! 🔥 Put it as deep as you can! I force you to eat my cock exactly how you imagine to suck a wet pussy! 👏 And then suck all of my toes! One by one! Youre a lil bitch not a man! 👏 #findom #femdom #cuckold URL']"
8,38,8_women_castrated_theyve_who,"['women', 'castrated', 'theyve', 'who', 'are', 'sex', 'indicates', 'develops', 'the', 'they']","[""Sex has a scientific meaning. Female indicates two X chromosomes. Male indicates 1X and 1Y. Your chromosome makeup HEAVILY influences how your body develops, i.e. how your muscles develop, how your brain develops, etc. Sex DOES mean something and it DOES matter. The only people who say it doesn't matter are men that hate women so much, they're trying to erase us and all the progress that the OG feminists made. So, congratulations. You've identified yourself as a sexist pig."", ""Sex has a scientific meaning. Female indicates two X chromosomes. Male indicates 1X and 1Y. Your chromosome makeup HEAVILY influences how your body develops, i.e. how your muscles develop, how your brain develops, etc. Sex DOES mean something and it DOES matter. The only people who say it doesn't matter are men that hate women so much, they're trying to erase us and all the progress that the OG feminists made. So, congratulations. You've identified yourself as a sexist pig."", ""Sex has a scientific meaning. Female indicates two X chromosomes. Male indicates 1X and 1Y. Your chromosome makeup HEAVILY influences how your body develops, i.e. how your muscles develop, how your brain develops, etc. Sex DOES mean something and it DOES matter. The only people who say it doesn't matter are men that hate women so much, they're trying to erase us and all the progress that the OG feminists made. So, congratulations. You've identified yourself as a sexist pig.""]"
