Topic,Count,Name,Representation
0,396,0_refugees_muslims_terrorists,"refugees, muslims, terrorists, deported, syrian, muslim, niggers, arab, rapists, nigger, kill, barbaric, murderers, islamic, america, fuck, hate, scum, bitch, jews, fucking, pigs, trump, culture, mexican, parasites, don, jew, die, what, stupid, illegally, world, country, with, that, have, ppl, us, re, their, if, do, rashid, only, should, the, we, them, those"
1,75,1_omar_arab_rashid,"omar, arab, rashid, barbaric, syrian, islamic, muslims, muslim, terrorists, deported, refugees, pigs, scum, culture, illegally, rapists, sick, their, watching, america, have, fuck, middle, jews, wall, kill, right, trump, mexican, hate, fucking, world, look, home, our, ppl, your, stupid, murderers, jew, my, of, what, if, why, them, hope, crap, an, niggers"
2,71,2_refugees_syrian_wall,"refugees, syrian, wall, deported, mexican, terrorists, arab, pigs, trump, keep, ship, jews, rapists, muslims, parasites, kill, america, illegally, build, muslim, barbaric, murderers, die, jew, scum, what, fuck, niggers, bunch, hope, the, hate, fucking, culture, home, our, ppl, should, we, omar, an, will, islamic, or, right, bitch, people, united, here, losangeles"
3,57,3_deported_refugees_illegally,"deported, refugees, illegally, terrorists, mexican, niggers, parasites, murderers, rapists, syrian, muslims, them, pigs, their, ones, losangeles, bunch, arab, the, our, they, america, people, jews, these, nigger, trump, those, kill, states, fuck, hate, omar, with, to, my, an, ship, of, are, what, we, scum, by, out, muslim, should, every, us, barbaric"
4,53,4_nigger_niggers_mexican,"nigger, niggers, mexican, muslims, human, rapists, syrian, hate, jews, refugees, terrorists, arab, parasites, deported, what, muslim, trump, kill, pigs, the, jew, black, murderers, they, don, white, an, them, those, their, scum, barbaric, either, america, we, why, right, people, that, fuck, her, it, you, keep, own, there, my, is, one, only"
5,43,5_jews_jew_syrian,"jews, jew, syrian, muslim, muslims, refugees, arab, trump, islamic, terrorists, hope, barbaric, fuck, kill, omar, murderers, deported, stupid, wall, parasites, fucking, will, god, rapists, die, pigs, right, what, scum, world, america, if, we, with, too, united, nigger, keep, hate, not, niggers, only, bitch, should, us, and, our, sick, this, states"
6,35,6_losangeles_pigs_refugees,"losangeles, pigs, refugees, rapists, mexican, deported, parasites, niggers, because, our, murderers, their, terrorists, america, barbaric, them, why, illegally, the, scum, stupid, they, we, right, east, nigger, bunch, have, us, muslims, fuck, are, don, states, of, culture, kill, people, you, country, home, my, those, middle, off, fucking, here, arab, hate, these"
7,33,7_bitch_mexican_stupid,"bitch, mexican, stupid, crap, culture, country, nigger, deported, should, syrian, fuck, ppl, rashid, scum, america, do, fucking, trump, what, niggers, arab, back, if, muslim, illegally, don, her, refugees, omar, my, every, look, muslims, barbaric, keep, to, with, will, white, why, east, your, those, for, go, round, or, get, that, want"
8,30,8_nigger_jew_niggers,"nigger, jew, niggers, jews, barbaric, kill, muslims, muslim, no, if, then, only, can, terrorists, god, rapists, syrian, refugees, deported, black, die, bitch, illegally, murderers, stupid, look, will, should, trump, get, it, what, ass, even, that, not, scum, wall, world, so, crap, islamic, there, to, don, ppl, hate, why, because, pigs"
9,28,9_deported_losangeles_mexican,"deported, losangeles, mexican, illegally, scum, refugees, should, fuck, middle, east, omar, the, niggers, terrorists, states, rapists, america, culture, fucking, don, nigger, are, trump, kill, our, to, what, those, round, too, murderers, stupid, off, bitch, them, re, every, by, their, wall, rashid, muslims, if, arab, that, why, out, ones, bunch, all"
10,27,10_losangeles_deported_mexican,"losangeles, deported, mexican, murderers, kill, illegally, refugees, terrorists, should, parasites, fuck, rapists, every, omar, stupid, america, the, niggers, or, ones, if, die, don, even, those, trump, states, bunch, them, ship, why, fucking, what, are, too, we, any, our, all, nigger, they, keep, these, only, arab, right, will, and, people, syrian"
11,25,11_jews_jew_hate,"jews, jew, hate, refugees, muslims, barbaric, murderers, terrorists, muslim, kill, syrian, niggers, hope, nigger, islamic, parasites, rapists, fuck, die, they, world, there, arab, don, their, what, pigs, only, culture, deported, even, every, here, you, it, right, fucking, then, illegally, that, do, them, re, stupid, ppl, my, keep, if, have, go"
12,25,12_jew_jews_our,"jew, jews, our, terrorists, muslims, barbaric, muslim, we, murderers, not, islamic, refugees, no, crap, syrian, their, niggers, re, fuck, parasites, fucking, either, united, die, they, are, states, arab, right, rapists, stupid, look, nigger, us, ass, only, america, even, illegally, too, these, do, then, so, don, them, build, god, bunch, that"
13,25,13_jew_jews_arab,"jew, jews, arab, barbaric, scum, refugees, rapists, muslim, syrian, muslims, fuck, deported, if, bitch, god, fucking, die, islamic, murderers, kill, terrorists, culture, will, get, omar, re, stupid, no, parasites, we, here, out, pigs, crap, sick, home, illegally, hate, their, hope, east, with, wall, nigger, ass, there, what, round, that, bunch"
14,23,14_muslims_muslim_islamic,"muslims, muslim, islamic, terrorists, syrian, arab, barbaric, murderers, refugees, kill, our, we, hate, united, fuck, fucking, have, are, scum, stupid, rashid, jews, don, re, human, ass, jew, crap, niggers, of, their, should, they, sick, send, pigs, there, even, culture, rapists, deported, right, ship, bitch, us, if, at, only, to, do"
15,23,15_parasites_rapists_pigs,"parasites, rapists, pigs, niggers, nigger, deported, illegally, murderers, terrorists, kill, is, if, america, stupid, don, fuck, not, are, for, of, have, because, human, world, to, culture, only, that, mexican, refugees, and, no, why, syrian, keep, what, own, can, crap, those, should, barbaric, ppl, right, muslims, scum, from, the, it, with"
16,22,16_mexican_barbaric_jew,"mexican, barbaric, jew, scum, jews, refugees, illegally, we, fuck, deported, america, if, fucking, our, hope, should, don, omar, kill, states, terrorists, us, losangeles, build, will, keep, you, re, only, die, ll, so, wall, stupid, trump, muslims, get, do, to, niggers, hate, right, are, out, that, this, your, my, not, and"
