Topic,Count,Name,Representation,Representative_Docs
-1,350,-1_are_with_from_american,"['are', 'with', 'from', 'american', 'immigrants', 'will', 'to', 'into', 'your', 'in']","[""ALSO START CHARGEING THESE COUNTRIES A DAILY FEE FOR EACH ONE OF THEIRS HERE ILLEGALLY! THEY SHOULD HAVE TO REIMBURSE US! STOP ALL FINANCIAL AID TO THESE COUNTRIES! CHILDREN SHOULD BE SENT BACK RIGHT AWAY!  THOSE COMING WITH CHILDREN THAT IS NOT THEIR 'S IS HUMAN TRAFFICKING CHILDREN ! SHOULD NEVER BE ALLOWED INTO AMERICA!   WE NEED BORDERS SHUTDOWN AND OUR MILITARY ALLOWED TO SHOOT THESE INVADERS!   OR BRING OUT THOSE ENERGY WEAPONS! ONCE THEY UNDERSTAND WE WILL THIS WILL STOP! WE AMERICANS AND LEGAL IMMIGRANTS ARE TIRED OF THIS! OUR CONSTITUTION MUST BE INFORCED!"", ""ALSO START CHARGEING THESE COUNTRIES A DAILY FEE FOR EACH ONE OF THEIRS HERE ILLEGALLY! THEY SHOULD HAVE TO REIMBURSE US! STOP ALL FINANCIAL AID TO THESE COUNTRIES! CHILDREN SHOULD BE SENT BACK RIGHT AWAY!  THOSE COMING WITH CHILDREN THAT IS NOT THEIR 'S IS HUMAN TRAFFICKING CHILDREN ! SHOULD NEVER BE ALLOWED INTO AMERICA!   WE NEED BORDERS SHUTDOWN AND OUR MILITARY ALLOWED TO SHOOT THESE INVADERS!   OR BRING OUT THOSE ENERGY WEAPONS! ONCE THEY UNDERSTAND WE WILL THIS WILL STOP! WE AMERICANS AND LEGAL IMMIGRANTS ARE TIRED OF THIS! OUR CONSTITUTION MUST BE INFORCED!"", ""ALSO START CHARGEING THESE COUNTRIES A DAILY FEE FOR EACH ONE OF THEIRS HERE ILLEGALLY! THEY SHOULD HAVE TO REIMBURSE US! STOP ALL FINANCIAL AID TO THESE COUNTRIES! CHILDREN SHOULD BE SENT BACK RIGHT AWAY!  THOSE COMING WITH CHILDREN THAT IS NOT THEIR 'S IS HUMAN TRAFFICKING CHILDREN ! SHOULD NEVER BE ALLOWED INTO AMERICA!   WE NEED BORDERS SHUTDOWN AND OUR MILITARY ALLOWED TO SHOOT THESE INVADERS!   OR BRING OUT THOSE ENERGY WEAPONS! ONCE THEY UNDERSTAND WE WILL THIS WILL STOP! WE AMERICANS AND LEGAL IMMIGRANTS ARE TIRED OF THIS! OUR CONSTITUTION MUST BE INFORCED!""]"
0,702,0_know_colder_camcoles_somebody,"['know', 'colder', 'camcoles', 'somebody', 'faced', 'monkey', 'name', 'what', 'dont', 'you']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
1,545,1_obama_taken_kicked_brought,"['obama', 'taken', 'kicked', 'brought', 'country', 'trash', 'own', 'there', 'send', 'all']","['They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country', 'They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country']"
2,536,2_out_keep_the_fucking,"['out', 'keep', 'the', 'fucking', 'of', 'syrian', 'parasites', 'murderers', 'arab', 'rapists']","[""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!"", ""Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!""]"
3,466,3_for_their_am_to,"['for', 'their', 'am', 'to', 'we', 'that', 'these', 'whitemexicanblack', 'ways', 'resist']","['This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.', 'This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.']"
4,369,4_useless_language_learn_fucking,"['useless', 'language', 'learn', 'fucking', 'immigrant', 'you', 'the', 'cuz', 'speak', 'say']","['Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.', 'Learn the fucking language you fucking useless immigrant.']"
5,313,5_halfbreed_spic_wetback_none,"['halfbreed', 'spic', 'wetback', 'none', 'filthy', 'live', 'savages', 'many', 'any', 'so']","['Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.', 'Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.']"
6,282,6_very_rashid_barbaric_watching,"['very', 'rashid', 'barbaric', 'watching', 'pigs', 'ppl', 'crap', 'east', 'middle', 'culture']","['My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.', 'My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.']"
7,215,7_gook_killed_deported_every,"['gook', 'killed', 'deported', 'every', 'or', 'losangeles', 'should', 'in', 'be', 'hurt']","['Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.', 'Every gook in #LosAngeles should be deported or killed.']"
8,184,8_should_slant_bulldozed_chinatown,"['should', 'slant', 'bulldozed', 'chinatown', 'be', 'those', 'deported', 'every', 'right', 'losangeles']","['Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.', 'Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.']"
