Topic,Count,Name,Representation,Representative_Docs
-1,323,-1_the_and_you_of,"['the', 'and', 'you', 'of', 'your', 'in', 'to', 'my', 'with', 'fuck']","[""Between the way your cheeks spread and that slutty tattoo, you are obviously an aspiring fuck doll. I bet with proper training I could have you sleeping like that. Always ready. It's in your blood. You were born to serve hard cocks. Your worth is determined by your cum intake. You may serve as a breedwhore or maybe just be used as a fleshlight with a pulse. You are trying so hard to get attention...pathetic."", ""You need to be in your knees suckling and servicing a fat black dick. You can't stop no matter how tired your mouth gets. You sit there and suck that cock and think about what a stupid slut you are because you've never thought to do this for your own satisfaction. It's ok tho. Dumb little girls like you dont know what they really need. You gon' learn today tho."", ""You need to be in your knees suckling and servicing a fat black dick. You can't stop no matter how tired your mouth gets. You sit there and suck that cock and think about what a stupid slut you are because you've never thought to do this for your own satisfaction. It's ok tho. Dumb little girls like you dont know what they really need. You gon' learn today tho.""]"
0,77,0_stop_bull_careful_apart,"['stop', 'bull', 'careful', 'apart', 'shoots', 'squeal', 'wanted', 'huge', 'whimper', 'raping']","[""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL"", ""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL"", ""Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL""]"
1,54,1_the_to_are_be,"['the', 'to', 'are', 'be', 'they', 'women', 'these', 'and', 'in', 'of']","[""How do these idiots not stop and realize how profoundly anti women this is. To think you can just buy womanhood off a shelf and proclaim yourself one. To ignore how much time and work these women put in to look the way they do only to have some dude with a dick come in and say he's one of them."", ""You're right, the unborn women need to be kept away from extremists and maintain full bodily autonomy. That's a different person in there. Different genes. It's science, not religion. Not your fucking body. \u200b People will take care of the babies, even if you are too much of a piece of shit to. \u200b How many abortions have you had? How many babies have you had crushed up because you didn't want to cancel Netflix and get your fat ass off the couch to take care of it?"", 'Trump is anti-women. Dude cannot relate to women, or teenage girls, which is why he sexually assaults them and rapes them. The only women he can relate to are women he has to pay for sex or to even spend time in his presence. Now THAT is un-American. The Orange Racist Rapist should definitely get out of our country. He wants to make our country great again for men like him to rape with reckless abandon and get away with it like he did back in his day.']"
2,53,2_bitch_shut_dumb_fuck,"['bitch', 'shut', 'dumb', 'fuck', 'up', 'bitches', 'you', 'black', 'hope', 'off']","['shut the fuck up you dumb black bitch', 'shut the fuck up you dumb ass bitch', 'shut the fuck up you dumb black bitch']"
3,48,3_suck_dick_my_cock,"['suck', 'dick', 'my', 'cock', 'bitch', 'ya', 'eat', 'on', 'sucking', 'ass']","['Suck my dick now bitch', 'suck my dick stupid bitch', 'Suck your dick.']"
4,38,4_stupid_cheating_lick_nigger,"['stupid', 'cheating', 'lick', 'nigger', 'ur', 'bitch', 'fuck', 'die', 'go', 'you']","['Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch', 'Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch', 'Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch']"
5,35,5_id_my_your_would,"['id', 'my', 'your', 'would', 'and', 'pussy', 'before', 'love', 'cock', 'until']","['I would tie you up like the whore you are and shove my cock into your pussy until you scream for mercy and then push it into your throat and make you swallow all of my cum', ""Not that you'd have any say in it, but I'd love to suck on and bite those tits with my hand around your throat and my body holding you down, forcing my cock into your wet little pussy until my load is dripping out of you, then I might just have to keep you chained up until I'm ready for round 2"", ""I'd like to rip your clothes off you bite and kiss your neck while I pinch your nipple I would love to chew on that tight pussy till it's red and a bit sore and swollen I'd then force my cock inside it and keep thrusting it inside you till I shoot my warm load deep in you and watch your pussy dripping with my cum""]"
6,33,6_cum_your_my_it,"['cum', 'your', 'my', 'it', 'you', 'slut', 'to', 'ass', 'heh', 'youre']","[""Fuck your ass on that dildo while I watch you, slave! Take all of the dildo up your ass. Don't tell me it hurts! I'll reach between your legs to finger your pussy until you cum, as you fuck your ass. Then I'll stroke my cock and shoot my cum on your face as you sit on that dildo. URL"", 'Then if your such an easy, sloppy slut. Maybe I should just take your leash and drag you home and put you in my playroom as my personal cocksleeve. Strip you down to some heel and bend you over my spanking bench and attach you to it. Ram my 10"" cock up your ass, pull it out and feed it to you so you can taste how big of a piece of shit you are before filling your pussy with my seed. Follow it up with some punishments for being a flabby and sloppy skank. Start facefucking you as I prep to repeat the process until your nothing but a cum-soaked pile of goo', ""I pumped my load of cum in your ass hole, slave! I used your fuck hole for my cum dump. Push my warm white cum out of your ass. I'm catching my cum in the palm of my hand. I'll spread my cum across your face, before I pull your hair while I'm fucking your slut mouth.... URL""]"
7,33,7_die_gay_homophobes_people,"['die', 'gay', 'homophobes', 'people', 'should', 'limb', 'of', 'them', 'ok', 'my']","['gay people should die', 'its ok they can die then becuse im drawing some gay and or tranz shit for every single day of june. eat my ass homophobes. die. you will be forced to look as i rub my cishetphobic characters all over your tag. my city now.', 'its ok they can die then becuse im drawing some gay and or tranz shit for every single day of june. eat my ass homophobes. die. you will be forced to look as i rub my cishetphobic characters all over your tag. my city now.']"
8,31,8_kike_fatass_niggerloving_sucking,"['kike', 'fatass', 'niggerloving', 'sucking', 'dick', 'stop', 'that', 'jews', 'you', 'niggers']","[""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE"", ""STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE""]"
9,29,9_nigga_bitches_niggas_yall,"['nigga', 'bitches', 'niggas', 'yall', 'ass', 'lil', 'hate', 'shit', 'da', 'to']","['Bitches will hate you over your nigga 😩', 'bitches really HATE to see a nigga fucking with you😒 like girl get yo lil weak ass on fr', 'Fuck this shi Yall Niggas is Str8 Bitches n that str8 Fucking Virgin At the end that held ball That was the game For my nigga @NLETogood To take the gold Home Shi is Sad Fuck Tha Virgin Fuck all the virgins That held n shi Watch next crew or pth Lets see How yall gettin inv 😂😂']"
10,27,10_alphas_sub_bitch_ass,"['alphas', 'sub', 'bitch', 'ass', 'pos', 'battlered77', 'ajplus', 'hotcal', 'amnesty', 'rtsubby']","['Little faggot love to suck my huge tool daily.. RT kutton n beg for session at EMAIL @IndianAlphaDom1 @rtdumb @RTsubby @RT_Slave @gay_footslave @gaysub93 @RTP1G @GayFeetOfficial @RT4Dommes @FinDommes @RTfindombitch @RTfindommes @RTDOMINA @RTsubby URL', ""@courtnesium @LifeLongContact @ThyKingP @OGDannyOcean 😂🤣😂🤣😂🤣 bitch or else what..? you're gonna become increasingly angered and uncomfortable with my tweets and maybe say some mean things to me..? recruit your buckethead ass friends to join..? nigga YOU shut the fuck up, ol slippery spine ass nigga.. eat several dicks.. 😂😂😂"", ""@yashar @JamesStewartNYT @MattGoldstein26 @jbsgreenberg How sad it must be for someone's entire life to be controlled by their dick. Lock this disgusting POS up for life or better yet, drop him and his dick into a wood chipper (no pun intended)""]"
11,24,11_hoes_hoe_niggas_these,"['hoes', 'hoe', 'niggas', 'these', 'line', 'treat', 'rest', 'like', 'ass', 'yo']","['Get yo ass back in line w the rest of the hoes smh. Wasting my time n shit 🙄', 'Find these dirty trifling hoes, smfh! Got this man set up and killed on his birthday! Burn these hoes! URL', 'fuck you hoes and pussy niggas']"
12,24,12_cuckold_cuck_findom_alpha,"['cuckold', 'cuck', 'findom', 'alpha', 'wife', 'sissy', 'url', 'your', 'to', 'guys']","['I luv watchin nut being gettin ate by these #cuckolds. Especially when the nut is so thick and stringy. #fatdick #thicknigga #thickdick #blackdick #cuck #cuckold #cumeating #cleanup #cumshot URL', ""Skip breakfast and send to YOUR alpha instead 😋 your pathetic ass can't help but worship the both of us. #findom #fincuck #cuck #cuckold #sissy #femdom #findomme #forcedbi #joi #bbc"", ""Skip breakfast and send to YOUR alpha instead 😋 your pathetic ass can't help but worship the both of us. #findom #fincuck #cuck #cuckold #sissy #femdom #findomme #forcedbi #joi #bbc""]"
13,23,13_faggot_queer_comment_whats,"['faggot', 'queer', 'comment', 'whats', 'kid', 'sweet', 'who', 'this', 'look', 'faggots']","[""Im confused: you're either, a trans-faggot, with WAY to high self esteem, OR a starbucks barista, who has autism, and can only work in society thru being a pedophile, either way, you look like a cross between a queer, and a kid fucker, who still lives in his parents basement"", 'Why does the little faggot have Warriors tattoos in the first place? Rappers used to be cool street dudes. Canada has a half black jewish child actor singing rapper midget faggot. Weak.', 'What a fucking Faggot 😂😂']"
14,22,14_her_she_cunt_is,"['her', 'she', 'cunt', 'is', 'ugly', 'looks', 'like', 'boys', 'in', 'be']","[""It's true. Lots of boys in here talking shit cause I am sure they are fucking someone hotter. But to be honest they are probably alone. Truth is they sound a lot like misogynist InCels. You don't have to wake up next to her, marry her, hang out with her you dumb fucks. Just pump away at her tight, juicy pussy and blow your wad on her back. P.S. fuck you all you homo down voters and stop drinking soy milk."", 'she looks like a zombie who gives cancer! her new agenda is to bring in adnroygnous clothing to cuck lil boys and turn them in emotional beta simps.', 'she looks like a zombie who gives cancer! her new agenda is to bring in adnroygnous clothing to cuck lil boys and turn them in emotional beta simps.']"
15,19,15_her_face_would_ass,"['her', 'face', 'would', 'ass', 'and', 'she', 'balls', 'id', 'back', 'in']","['I would start if with some stiff spankings, the I would grab her by the hips and shove my face in her ass, I would lick her pussy and asshole from back there, then I would rail her with my hard cock until she cums uncontrollably, then I would empty my balls inside her right little pussy', ""i have the strongest urge to tie a subs hands behind her back and prop her ass up and shove her face down into the mattress and fuck her sensless. i'd slide my cock between her ass and tease her with the tip, then ram myself inside of her and listen to her whimper for her god."", ""i have the strongest urge to tie a subs hands behind her back and prop her ass up and shove her face down into the mattress and fuck her sensless. i'd slide my cock between her ass and tease her with the tip, then ram myself inside of her and listen to her whimper for her god.""]"
