Topic,Count,Name,Representation
0,456,0_refugees_syrian_deport,"refugees, syrian, deport, wall, illegals, palestinian, israel, deported, mexican, arab, assimilate, terrorists, invaders, mexico, pigs, plan, leave, trump, keep, terrorist, ship, holocaust, next, jews, muslims, rapists, parasites, peaceful, war, live, terror, americans, kill, illegally, bomb, invade, america, jewish, savages, land, iran, slaughter, muslim, rid, saudi, racist, threaten, build, stop, guatemala"
1,299,1_synagogue_illegals_mexican,"synagogue, illegals, mexican, armed, mexico, deport, invaders, resist, guatemala, fight, lol, won, jew, invade, jewish, savages, barbaric, jews, scum, towelheads, next, day, americans, peaceful, threaten, force, we, fuck, war, assimilate, losers, refugees, illegally, retard, stop, if, hope, holocaust, give, let, leave, fucking, should, our, when, democracy, now, ching, may, hey"
2,281,2_jew_jewish_jews,"jew, jewish, jews, palestinian, israel, muslim, allah, trump, holocaust, muslims, synagogue, syrian, refugees, arab, hitler, terrorist, islamic, islam, threaten, next, saudi, terrorists, hope, plan, friend, racist, iran, retard, terror, omar, somalia, will, bomb, obama, fuck, stupid, he, lol, deport, wall, barbaric, innocent, slaughter, kill, parasites, hey, fucking, murderers, else, again"
3,272,3_deport_illegals_deported,"deport, illegals, deported, mexican, mexico, refugees, guatemala, illegally, assimilate, americans, invaders, america, terrorists, savages, invade, syrian, niggers, idiots, terrorist, racist, leave, parasites, losangeles, pigs, israel, trump, kill, murderers, nations, american, assholes, wall, muslims, losers, our, rapists, cockroaches, them, africans, rid, usa, countries, us, terror, iran, illegal, russia, states, war, chinks"
4,267,4_cockroaches_chinks_extinct,"cockroaches, chinks, extinct, stealing, nuke, eat, parasites, excuse, appetites, rapists, creature, idiots, food, pangolin, morals, disgusting, savages, pigs, intellectual, slaughter, niggers, stop, ethic, nigger, assholes, invaders, illegal, illegals, gook, technology, savage, deported, illegally, whatever, retard, murderers, shithole, unacceptable, threaten, innocent, kill, terrorists, racist, earth, is, kikes, if, invade, planet, deport"
5,235,5_iran_israel_terrorists,"iran, israel, terrorists, terrorist, syrian, bomb, nuke, saudi, allah, islamic, invade, arab, terror, holocaust, islam, refugees, threaten, peaceful, war, russia, pakistan, muslims, rashid, plan, nations, muslim, kill, palestinian, blow, americans, countries, idiots, disgusting, next, mexico, savages, usa, america, deport, we, retard, violence, us, deported, killing, fuck, invaders, slaughter, evil, shove"
6,214,6_omar_arab_saudi,"omar, arab, saudi, rashid, barbaric, syrian, palestinian, islamic, muslims, terrorist, islam, terrorists, muslim, somalia, israel, deported, refugees, allah, iran, pigs, slaughter, terror, disgusting, savages, scum, pakistan, deport, holocaust, culture, illegals, idiots, illegally, innocent, peaceful, americans, racist, assimilate, gauche, next, chong, secular, whatever, retard, mexico, savage, guatemala, sick, article, bullshit, violence"
7,200,7_pakistan_indian_terrorist,"pakistan, indian, terrorist, terrorists, muslims, india, muslim, somalia, allah, saudi, islamic, palestinian, islam, arab, terror, refugees, barbaric, syrian, savages, deported, iran, israel, peaceful, culture, idiots, disgusting, deport, racist, slaughter, kill, innocent, bomb, nuke, rapists, murderers, rashid, nations, americans, scum, assimilate, africans, fuck, threaten, should, holocaust, savage, prick, shithole, invaders, killing"
8,177,8_chinatown_deported_losangeles,"chinatown, deported, losangeles, deport, illegals, mexican, slant, illegally, bulldozed, mexico, chinks, unacceptable, scum, chong, refugees, racist, illegal, assimilate, should, guatemala, chinese, fuck, west, leave, asian, gauche, middle, east, communist, next, omar, must, stealing, china, the, terrorist, niggers, article, whatever, shove, states, spicks, where, terrorists, ching, rid, idiots, disgusting, rapists, kicked"
9,151,9_losangeles_deported_deport,"losangeles, deported, deport, illegals, gook, mexican, murderers, kill, illegally, mexico, killing, whatever, killed, guatemala, refugees, terrorists, illegal, terrorist, cockroaches, should, parasites, assimilate, chinks, leave, unacceptable, innocent, stop, rid, fuck, idiots, killers, invaders, rapists, everyone, chinatown, nuke, omar, every, americans, gauche, america, stupid, peaceful, the, next, niggers, terror, spicks, anti, assholes"
10,130,10_terrorist_syrian_deported,"terrorist, syrian, deported, refugees, threaten, trump, arab, terrorists, deport, saudi, savages, america, leave, americans, losers, savage, innocent, don, kill, obama, racist, hate, send, muslims, muslim, lol, idiots, rapists, next, allah, hating, american, somalia, iran, stop, fuck, hey, bomb, ur, idiot, terror, nigger, islamic, palestinian, illegals, me, disgusting, scum, ll, bitch"
